SZÉV igény szám,Státusz,Felelős,Igény dátuma,"Á(rajánlat)
R(endelés)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,
SZÉV2024-310,FALSE,IMP,09.10,R,1,,,M04252,GRUNDFOS,MCD-3000 alaplapfúró,,"főorsó szíj SOS-ben
árajánlat szíjtárcsa párra + szíjra",,1 készlet,LR,
SZÉV2024-311,TRUE,Babett,09.10.,,1,2024.09.20.,BET2024/03161,M11097,Santavecz,TNL-130ADT,,"TBMA-200 revolverfej alkatrészek: 1 pc short-circuit ring, 3 pcs rollers, 3 pcs cams, 1 pc rod",,1 készlet,LR,
SZÉV2024-312,TRUE,GYE,09.12.,R,,2025.01.21.,BET2025/00181,,Schunk+H-Metálnak+SZÉV raktár,,,"Szűrő / Komplett szűrőház 20 bar és 40 bar hűtőkörökre (3/4""BSP - 10 mikron)  10-00016152-00    5 db
Hűtés / Szűrőbetét kék/fehér (m2)  10-00000219-00   5 m2, Szűrő / Szűrőbetét FILTREC DMD0008E10B, 10-00001511-00",Csatolt email  Díjbekérő 231714/ 10-1511-ból érkezett 20 db,5 db - 5m2-20 db/ Kék-fehér szűrőbetét megérkezett,AL,
SZÉV2024-313,FALSE,IMP,09.13.,,,,,,SZÉV raktár,,,"10-00026826-00, Tartalék / MM-430 / Főorsó melletti szelep",Csatolt email,10 db,AL,
SZÉV2024-314,TRUE,ERA,09.13,,,2024.09.26.,2024/000001121,,SZÉV raktár,,,"Mágneskapcsoló / Schneider LP1-K0901BD mágneskapcsoló (4kW;24VDC),20-00002464-00, 5 dbMágneskapcsoló / Schneider LP1-K0910BD mágneskapcsoló (4kW;24VDC),20-00002465-00, 5 db
Mágneskapcsoló / Schneider LA4-KC1B zavarszűrő,20-00001534-00, 10 db
Relé / Omron G2R-2-SND DC24(S) (2 érintkezős relé),20-00000878-00, 10 db
Relé / Omron G2R-1-SND DC24(S) (1 érintkezős relé),20-00000876-00, 10 db",Csatolt email,,AL,
SZÉV2024-315,TRUE,GYE,09.16.,,,2024.09.26.,2024/000001121,,SZÉV raktár,,,"Lábpedál  / 2 lábas (1 lassú,1 normál)IP7018, 10-00005491-00
",Csatolt email,2 pár,AL,
SZÉV2024-316,TRUE,GYE,09.16,,1,2024.09.27.,BET2024/03243,M17204,DOROTI PACK KFT.,MM-800S,,Deublin 1109-020-188 forgóátvezető,,1 db,LR,
SZÉV2024-317,TRUE,GYE,09.16.,,1,2024.09.20.,2024/000001094,M21107,MTA WIGNER,TCS-2000L,,40 liter 32-es hidraulika olaj,,40 liter,LR,
SZÉV2024-318,FALSE,LOG,09.17.,,,,,,SZÉV raktár,,,Nagyméretű zsugorfólia.,Csatolt email,5 tekercs,AL,
SZÉV2024-319,TRUE,GYE,09.17.,R,1,2024.10.17.,BET2024/03531,M12056,AG UNION,EmR-1020D-5AX,,Y-tengely lineáris kocsi THK SRG35,,"1 db, 2 db érkezett",LR,
SZÉV2024-320,TRUE,GYE,09.17.,,1,2024.09.20.,,M23137,ALSTOM HUNGARY KFT.,MITSUBISHI kétpalettás horizont ,,Yuken DSG-01-3C2-A110-50,"Csatolt fotó/email, kiváltót kaptunk",1 db,CsZ,
SZÉV2024-321,TRUE,ERA,09.18.,,,2024.09.26.,2024/000001123,,SZÉV raktár,,,"Schneider XB4 BW36B5 (kék ledes nyomógomb 24VDC),20-00008945-00",Csatolt email,"5 db, 3 db érkezett",CsZ,
SZÉV2024-322,FALSE,IMP,09.19,,,,,M15130(M07161),SCINTILLA KFT.,EML-510,,"""Y"" hátsó burkolatra koszlehúzó tömítés",Csatolt fotó/email,1 klt,CsZ,
SZÉV2024-323,FALSE,IMP,09.19.,,0,,,M14247,PRECIZ-N KFT. + SZÉV tartalék,MM-1000 + MM-800,,főorsó végén lévő alkatrészek,,2 klt,LR,
SZÉV2024-324,TRUE,GYE,09.23,,,2024.09.30.,BET2024/03257,,BETATHERM KFT.,EEN-320,,"10-00011470-00,Védőkötény / 165x450mm (EEN-320) Variante 1",Csatolt fotó/email,3db,CsZ,
SZÉV2024-325,TRUE,GYE,09.25.,,,2024.09.26.,2024/000001115,,SZÉV raktár,,,"Pneumatika / ( levegőcső 8-as )PU-5,5x8 (kék)  (1xU08 04)   10-00001045-00     100 m
Pneumatika / ( levegőcső 10-es) PU-7x10 (kék) (1XU10 04)   10-00001047-00     100 m",Csatolt email,100-100 méter,AL,
SZÉV2024-326,TRUE,ERA,09.25.,,,2024.09.26.,2024/000001121,,SZÉV raktár,,,Kábel árnyékolt 3x0.14 (TRONIC-CY Art.nr. 20002)    21-00020002-00,Csatolt email,50 méter,AL,
SZÉV2024-327,TRUE,GYE,09.25.,,,2024.10.03.,2024/000001177,,SZÉV raktár,,,Csapágy / 30TAC62CSUHPN7C ferdehatásvonalú golyóscsapágy NSK  10-10001875-00,Csatolt email,8 db 6 db érkezett,AL,
SZÉV2024-328,TRUE,IMP,09.25,R,,2024.11.22. 2025.02.10.,BET2024/03944 2025/000000202,M04252,GRUNDFOS MAGYARORSZÁG GYÁRTÓ KFT.,MCD3000 alaplapfúró,,Főorsó csapágyak: 1pár NSK 7012CTRDULP3 + 1pár 7014 CTRDULP3 / Főmotor csapágyak: 1 db NSK 6206TCG12P4 + 1 pár GMN S6208 C TXM P4,Csatolt email,1-1 klt/7012-7014-2-2 db érkezett/6206-1 db; 1 pár 6208 érkezett,CsZ,
SZÉV2024-329,TRUE,Babett,09.25.,,,"2025.02.10.
2025.02.11",BET2025/00456,M04253,GRUNDFOS MAGYARORSZÁG GYÁRTÓ KFT.,MCD3000 alaplapfúró,,"Főmotor szíjtárcsa HM-106-4155,10-00026613-00 + Főorsó szíjtárcsa HM-106-4151,10-00026614-00 + Főorsó szíj 720-8MGT-X-25 (2db),10-00026615-00 + Jeladó szíjtárcsa HM-106-4020,10-00026616-00 + Jeladó szíjtárcsa főorsón HM-106-4026,10-00026617-00 + Jeladó szíj  HTD 580 5MX9,10-00026618-00",Csatolt email,"1 db 720x40 8M
10-26615,720x25/8MGT/2db+BET/2025/00456 + Berkoától beérkezett minden is.",CsZ,
SZÉV2024-330,TRUE,IMP,09.27.,R,,2024.11.15.,BET2024/03824,M21029 P21015,PCE,HCD-16 horizontális süllyesztő fúró,,Suntes PC450 féknyereg,,1 db,LR,
SZÉV2024-331,FALSE,GYE,09.30.,R,,,,,SZÉV raktár,,,"Pneumatikus csatlakozók, szűkítők, közcsavar szűkítők (Budai Attila írta össze)",Csatolt fotó/email   74374/24-WR számú power belt díjbekérőn,,AL,
SZÉV2024-332,TRUE,IMP,09.30.,,,2025.02.04.,BET2025/00344,,SZÉV raktár,,,"Tartalék / Levegő előkészítő csésze burkolata / Mindman MACP300-10A (MAF300-S1),10-00033718-00  20 db
            Tartalék / Levegő előkészítő csésze / Mindman MACP300-10A (MAF300-S1),10-00033717-00    20 db",Csatolt email,20-20 db/10-10 db érkezett,AL,
SZÉV2024-333,FALSE,GYE,09.30.,R,,,,,SZÉV raktár,,,Pneumatika levegőcső 12-es.,Csatolt email 74374/24-WR számú power belt díjbekérőn,100 méter,AL,
SZÉV2024-334,TRUE,IMP,10.01,,,2024.11.26.,2024/000001434,M11381,Bárkovics,Baoma DB-703 startlyukfúró,,vízszivattyú tömítések (4 db karmantyú = 1 szett) + vízszűrő,,12 db (3 szett) + 1 db,LR,
SZÉV2024-335,FALSE,,,,,,,,TS HUNGÁRIA KFT.,VL-100,,MR1K-015GM10 áramlásszabályzó,,1 db,LR,
SZÉV2024-336,TRUE,GYE,10.02.,,,2024.10.16.,,,SZÉV raktár,,,Szilikonzsír,Csatolt email/fotó,1 db,AL,
SZÉV2024-337,TRUE,LOG,10.02.,,,2024.11.08.,2024/000001329,,SZÉV raktár,,,"Li-elem 3.6V (LS14250CNA):, 20-00000631-00",Csatolt email/fotó,30 db/20 db-ot kaptunk,AL,
SZÉV2024-338,TRUE,IMP,10.02.,,,2025.01.24.,BET2025/00232,,SZÉV raktár,,,"Hidraulika / Útváltó szelep revolverfejhez DSG-01-3C2-D24-50 YUKEN,10-00027243-00",Csatolt email/fotó,3 db,AL,
SZÉV2024-339,FALSE,IMP,10.03.,,0,,,M15303,MVM NUKA,HBM-4,,"Szerszámcserélő kar ütköző, gyártói cikkszám: OB0000AD2540",,2 db,LR,
SZÉV2024-340,TRUE,GYE,10.03,R,0,2024.11.08.,BET2024/03885,,SZÉV tartalék,,,"szimeringek 4 db 32x48x8,  8 db 40x52x5, 4 db 50x65x7 golyósorsókhoz","Megrendelve plus&roll
Ha van infóm , jelzem ",4-8-4 db,LR,
SZÉV2024-341,TRUE,GYE,10.04.,,,2024.11.18.,,,SZÉV raktár,,,"Szigetelő szalag    fehér, 8 db/csomag         3 csomag
Gyorskötöző    100x2,5 (100 db/csomag)    3 csomag
Gyorskötöző    150x2,5 (100 db/csomag)    3 csomag
​Gyorskötöző    200x3,6 (100 db/csomag)    3 csomag
​Gyorskötöző    250x4,8 (100 db/csomag)    3 csomag
​Pillanatragasztó - gél   Loctite 454, 3 g, darabonként     5 db
Teflon zsinór                                                              10 db
Szilikon kinyomó                                                         2 db
Téli szélvédő mosó folyadék   5l/kanna                         15 kanna
Kötegelő talp       25x25 mm, fekete, 100 db/csomag      2 csomag
Szerelő kesztyű            11-es                                       3 somag
Szerelő kesztyű            10-es                                       1 csomag
Szerelő kesztyű              8-as                                       1 csomag
Féktisztító                     500 ml, 12 db/karton                3 karton",Csatolt email,,AL,
SZÉV2024-342,TRUE,GYE,10.04.,,1,sztornó,,M15099,TOP HOLDING ZRT.,EmL-1020B,,FAG HCS7014-C-T-P4S-UL csapágy,Csatolt fotó,4 db,HA,
SZÉV2024-343,TRUE,IMP,10.07.,,0,2025.01.30. 2025.02.04.,"BET2025/00312, BET2025/00345",M08270,ALSTOM HUNGARY KFT.,EmB-1300,,"Szerszámcserélő kar: teljes hossz: 730mm, SK50 szerszámozás",Csatolt email/fotó,"2db/ 1 db érkezett, megérkezet a + 1 db.",CsZ,
SZÉV2024-344,FALSE,IMP,10.07,,0,,,M17056,INLONG,Kondia B-640,,"Energia vezető (Y-nal együtt mozog, de az X kábelei futnak benne)",,1 db,LR,
SZÉV2024-345,FALSE,Babett,10.07.,,1,,,M14295,DOROTI PACK KFT.,B1050,,"Gyári szám: B7284
Árajánlatot és szállítási határidőt kérünk ",,,,
SZÉV2024-346,TRUE,GYE,10.08,,1,2024.11.06.,BET2024/03696,M14295,DOROTI PACK KFT.,"NCTB-1050B
 (KONDIA B-1050)",,"Golyósorsó felújítás + csapágyazás (1db INA ZKLF 3080-2RS , 1db 6206-2RS) + kuplung","Csatolt email, 2x szerepel ez az igény. 364-es is ez.",1 klt,CsZ,
SZÉV2024-347,TRUE,GYE,10.08.,,0,2024.10.09.,,M21074,MAGYARMET KFT.,KAFO-NCT SV-1000,,nagynyomású szivattyú,Csatolt email/fotó,1db,CsZ,
SZÉV2024-348,TRUE,GYE,10.09.,Á,0,,,M16203,DRAIN ÉP-KER KFT.,EmR-610D,,"Az első ajtóra és a bal oldali ablakra kérünk árajánlatot plexi és biztonsági üvegre is ( 665x530x11,5mm, 665x365x11,5mm)",Csatolt email AA beküldve,1-1db,CsZ,
SZÉV2024-349,FALSE,ERA,10.09.,,,2024.10.11. 2025.02.05.,2024/01216 2025/000000175,,ProForm Kft. 3 db+Szév raktár,,,"Nyomógomb / Schneider XB4 BW36B5 (kék ledes nyomógomb 24VDC), 20-00008945-00","Csatolt email, 3 db érkezett/ 5 db érkezett.",10 db,AL,
SZÉV2024-350,TRUE,Babett,10.10.,,0,2024.10.15.,,M14270,TSE MOLD KFT.,DECKEL DC-70V,,A DC-100-as gépből kiszerelni és beküldeni tárbetetéteket (szerszámhelyek száma: 30 (SK40)),"Csatolt email/Ignác hozta el Taksonyból, nem használt fel semmit, így vissza lett küldve.",,CsZ,
SZÉV2024-351,TRUE,GYE,10.10,,0,2024.10.10.,"BET2024/03890-tömítések, BET2024/03738",M10289,KOKILLA PREC KFT.,Jinnfa JCL-60-AHD-23,,René által feldolgozott alkatrészek,Roli válaszolt email,1 klt,LR,
SZÉV2024-352,TRUE,Babett,10.11,,,2024.11.07.,BET2024/03720,,SZÉV raktár,,,Habor/ Fázisfigyelő olajhűtőhöz E-RVR-APR3CRS,10-00026827-00,3 db,CsZ,
SZÉV2024-353,TRUE,ERA,10.11.,,,2024.11.14.,2024/000001364,,SZÉV raktár/Fejes Ati,,,"Motorvédő / Schneider GV2-ME05 motorvédő (0.63-1A) 20-00002505-00 3 db
Mágneskapcsoló / Murr elektronik RC szűrő 1 fázisú (20683)  20-00001612-00   10 db
Kábel olajálló flexibilis 2x0,75 (OZ-HF Art.nr.15019)   21-00015019-00    50 méter
Kábel olajálló flexibilis 3x0,75 (JZ-HF Art.nr.15020)    21-00015020-00    50 méter",Csatolt email,,AL,
SZÉV2024-354,TRUE,Babett,10.11,,1,2024.11.07.,BET2024/03720,M18030,fémtek,KAFO KMC-2622,,HABOR HBO-750PTSBM2 olajhűtő,,1 db,LR,
SZÉV2024-355,TRUE,ERA,10.14.,,,2024.11.15.,2024/000001363,,1db Metagalax+ 2 db SZÉV Raktár,,,"Kapcsoló / Balluff BES 516-3005-G-E4-C-PU-0,2  induktív érzékelő(BES00H3), 20-00010466-00",Csatolt email/1 db -ot megkaptunk az megy ki az ügyfélnek./megkaptuk a hiányzó 2 db-ot.,1+2 db,AL,
SZÉV2024-355,TRUE,GYE,10.14,Á,1,2024.11.26.,2024/000001425,M14232,Dr. VARGA TAMÁS,SC-32,,"főorsó csapágyak
Brand : SKF
Model:  7012 CD/P4A
Required quantity for spindle: 4 PCS per set",,4 db,LR,
SZÉV2024-357,TRUE,GYE,10.14,,,2024.10.17.,,M15070,S.C.METAGALAX s.r.l.,TCS-2000,,Baruffaldi TB-200 revfejbe: VDI40 szorító dió,Csatolt email/fotó,3 db,CsZ,
SZÉV2024-358,TRUE,ERA,10.14,,0,2024.11.15.,"2024/000001237-2 db, 2024/000001362-6 db",M15070,S.C.METAGALAX s.r.l.,TCS-2000,,"Nyomógomb / Schneider XB4 BW36B5 (kék ledes nyomógomb 24VDC), 20-00008945-00",Csatolt email/2 db érkezett/érkezett 6 db,10 db,CsZ,
SZÉV2024-359,FALSE,IMP,10.15,Á,,,,M19059,PCE PELLETING CONSUMABLES EUROPE KFT.,CHM-160 Belső sorjázó,,árajánlatot kérünk komplett főorsó egységére,Csatolt email/fotó,1 db,CsZ,
SZÉV2024-360,FALSE,IMP,10.15,,1,,,M11016,MSK HUNGARY BT.,JCL-75TSM,,Munkadarab kihordó szalag,Csatolt email/fotó,1 db,CsZ,
SZÉV2024-361,TRUE,GYE,10.16.,,0,2024.11.27.,,M23112,ALUMÍNIUMÁRUGYÁR ZRT.,S-TURN-92 (HT-92),,"10-00006770-00,Tartalék / MM-800 / Ajtózár réz 70mm","Csatolt email/fotó Megrendelve :240610023 SZÉV2024-361 Biotek Jelzem ,ha beérkezett . ",2 db/ 1 db érkezett,CsZ,
SZÉV2024-362,TRUE,GYE,10.17.,,,2024.10.18.,BET2024/03528,M23170,MSK Hungary Gépgyártó Bt.+ SZÉV Raktár,EM-1500E 3,,Csapágy 6204LB; Csapágy 6206LB,Csatolt email/fotó,2-2 db,AL,
SZÉV2024-363,TRUE,GYE,10.17.,R,,2025.03.06.,2025/000000348,,SZÉV-Raktár,,,"Szűrő / Szűrőbetét FILTREC DHD160B200B, 10-00014854-00",Csatolt email. - Megrendelve - Díjbekérős lesz Imex,5 db/10 db érkezett,AL,
SZÉV2024-364,TRUE,GYE,10.17.,,,2024.11.06.,BET2024/03696,M14295,DOROTI PACK KFT.,Kondia B-1050,,"Csatolt fotón lévő alkatrészekből csapágyak,kuplung, kuplunk csillag.",Csatolt email/fotó,"1-1-1-1 db, 2x szelepel ez az igény a 346 is ez",AL,
SZÉV2024-365,TRUE,IMP,10.17.,,1,2024.12.03.,2024/000001446,,SF Toolshop SRL,CHMER CD-325G-A,,kúpfogaskerék,,1+1 db,LR,
SZÉV2024-366,TRUE,GYE,10.18,,1,2024.11.22.,BET2024/03953,M17261,SCHUNK HOFFMANN CARBON TECHNOLOGY GmbH,EmR-1604D,,Deublin 1109-020-188 forgóátvezető,,1 db,LR,
SZÉV2024-367,FALSE,IMP,10.20.,,,,,M14095,GRIF-TOOLS Kft.,EML-1020B,,Y vezetékvédő első és hátsó csere szükséges. ÁA-t és szállítási határidőt kérünk külön-külön mindkét vezetékvédőre.,,1 db,PI,
SZÉV2024-368,FALSE,GYE,10.20.,,,,,M06219,KOKILLA PREC KFT.,TMV-510A-CNC-14 (gysz: 019360),,Hőcserélő csatolmány szerint.,Csatolt email/fotó,1 db,SZI,
SZÉV2024-369,TRUE,GYE,10.21.,,,0204.11.08.,BET2024/04242,M12066 M16094,SANATMETAL KFT.,TNL-100ADT (M12066); TCS-2000 (M16094); SZÉV tartalék,,3 db forgácsvédő üveg: 514x395,,3 db,GJ,
SZÉV2024-370,TRUE,IMP,10.21,,1,"2024.11.07.
2025.05.06.","BET2024/03718
BET2025/01510",M22074,ALPIN-SLW Szolgáltató Kft.,BNC-446 (gysz: 221121482),,"5 db szíj (485-5GT típusú, 20 mm széles)",,5 db/ 1 db érkezett/Megérkezett a maradék 4 db.,SA,
SZÉV2024-371,TRUE,GYE,10.24.,,,,,,SZÉV-Raktár,,,"H4-es izzó, Suzukiba",Csatolt email.,6 db,AL,
SZÉV2024-372,TRUE,GYE,10.25.,,,2024.11.05.,2024/000001302,,SZÉV-Raktár,,,Csapágy / 30TAC62CSUHPN7C ferdehatásvonalú golyóscsapágy NSK  10-10001875-00,Csatolt email.,12 db/ 8 db érkezett,AL,
SZÉV2024-373,FALSE,IMP,10.25.,,1,,,M04252,Grundfos,MCD3000 alaplapfúró,,TH0537 hidraulikus egység,"Képtár: \\10.0.3.241\Képtár\Beérkező gépek képei\Beérkező gépek képei 2024\EGYÉB\SZÉV M04252 MCD3000 meghúzó, Deublin",1 db,,
SZÉV2024-374,FALSE,IMP,10.25.,,1,,,M04252,Grundfos,MCD3000 alaplapfúró,,TH0537 DEUBLIN 1109-020-188,"Képtár: \\10.0.3.241\Képtár\Beérkező gépek képei\Beérkező gépek képei 2024\EGYÉB\SZÉV M04252 MCD3000 meghúzó, Deublin",1 db,,
SZÉV2024-375,TRUE,GYE,10.25.,,,2024.12.19.,2024/000001561,TH0509,,VD-510S,,Főorsó csapágy NTN7008 UCG/GNP4,Csatolt email/ fotó,4 db,AL,
SZÉV2024-376,TRUE,GYE,10.25,,,,,TH0501,Kelet-Szerszám Kft.,VD-510S,,Csatolt munkalap alapján csapágyak,Csatolt email/ fotó,?,AL,
SZÉV2024-377,TRUE,Babett,10.28.,,,2024.11.15.,BET2024/03824,M21029 P21015,PCE,HCD-16 horizontális süllyesztő fúró,,Suntes PC450 féknyereg,,2 db,HA,
SZÉV2024-378,TRUE,GYE,10.28,,1,2024.11.08.,2024/000001331,M12214,HAJDU AUTOTECHNIKA IPARI ZRT.,BNC-1860,,"2 db hidraulika motor ventillátor (d17 x D135 x M23 x 10 db lapát). 1 db M12214, 1 db SZÉV tartalék.","Csatolt email/ fotó Megrendelve utánvéttel 
Rendelésszám 18586  Zotek",2 db,TI,
SZÉV2024-379,FALSE,Babett,10.28.,,,,,B6840,METALL-TECHNO KFT.,K-B1050,,"5 db BT-40 K-B1050 tárbetét. 3 db METALL-TECHNO, 2 db SZÉV tartalék.",Csatolt email/ fotó,5 db,SZI,
SZÉV2024-380,TRUE,GYE,10.29,,1,,,M16283,Kelet-Szerszám Kft.,VD-510S,,SVM-75L-30 SOLPOWER motor. Kompenzációs lemez 52 2 db; 6205 T2X LLB C3/L051QTK 2 db,Csatolt email/ fotó,Igény szerint,SP,
SZÉV2024-381,FALSE,LOG,10.29.,,1,,,M16283,Kelet-Szerszám Kft.,VD-510S,,SVM-75L-30 SOLPOWER moto. Állórész újratekerszelése???,,1 db,SP,
SZÉV2024-382,FALSE,IMP,10.29,,,,,M07153,MSK HUNGARY BT.,EmL3000 (BT2071002),,ISO50 tár szerszámbetét 1 db,,1 db,GJ,
SZÉV2024-383,TRUE,IMP,10.29.,,,2025.01.30. 2025.02.04.,"BET2025/00312, BET2025/000351",M21200,FRIGO-METAL KFT.,VD-510 (gysz.: V-210696),,BT30 tár szerszámbetét 10 db,Csatolt email/ fotó,10 db/ 8 db érkezezz+ 2 db is megérkeztt,EG,
SZÉV2024-384,FALSE,,10.29,,,,,M14095,GRIF-TOOLS Kft.,EML-1020B,,Kenőtáp CESG01 1 db,SZÉV2024-040,1 db,PI,
SZÉV2024-385,TRUE,GYE,10.30.,,,10.30,2024/000001295,,SZÉV tartalék SVM-75L-30 SOLPOWER motor,VD-510S,,SVM-75L-30 SOLPOWER motor. Kompenzációs lemez 52 2 db; 6205 T2X LLB C3/L051QTK 2 db,Csatolt email/ fotó,Igény szerint,SP,
SZÉV2024-386,FALSE,GYE,,,,,,,,,,"2 db SKF, 6206 hátul",,,,
SZÉV2024-387,FALSE,IMP,11.04.,,,,,M06213,SLOVTOS spol sr.o.,EUROmill2000,,Z vezetékvédő burkolat,Csatolt email/ fotó,1 db,CsZ,
SZÉV2024-388,TRUE,GYE,11.04,,1,2024.11.04.,"BET2024/03727,28,29.",M19087/M14165,Sanatmetal, EmR-1200M billenőfejes,,"Tömítéskészlet (típus, számla beírás Angelovics Laci?)",,,SP,
SZÉV2024-389,TRUE,IMP,11.04.,,0,2025.01.24.,BET2025/00232,,JUHÁSZ,TNL,,"hidraulika szivattyú és villanymotor közé hüvely D=24 mm, L=39 mm",,3 db,LR,
SZÉV2024-390,TRUE,GYE,11.05,,1,2024.11.06.,,M11374,TS HUNGÁRIA KFT.,BNC-40120,,kék festék (éklécek hántolása miatt),,1 db,CsZ,
SZÉV2024-391,TRUE,IMP,11.05.,,1,2025.01.21.,BET2025/00186,M07153,MSK HUNGARY BT.,EmL3000,,szánkenő cső - X-Y tengelyre,Csatolt email/ fotó,2-2db/1-2 db érkezett,CsZ,
SZÉV2024-392,FALSE,GYE,11.05,,1,,,M11045,DOROTI PACK KFT.,EMR-610D,,"2 db S7208 CDGA/HCP4A, 1 db 6206 T2X ZZ",,3 db,SP,
SZÉV2024-393,TRUE,GYE,11.07.,,,2024.11.08.,,,SZÉV-Raktár,,,"Csiszolás / Dörzstisztító (Schleifvlies Rolle) ""Dörzsike""  10-00136267-00",Csatolt email/fotó,1 tek,AL,
SZÉV2024-394,TRUE,GYE,11.08,,1,2024.11.15.,BET2024/03838,M11374,TS HUNGÁRIA KFT.,BNC-40120,,35-tétel: szorító gyűrű + ringfeder hiányzik gyárilag,Csatolt email/fotó,1-1db,CsZ,
SZÉV2024-395,TRUE,GYE,11.08.,,,2024.11.13.,,M07286,RÁK ÉS RÁK BT.,TNL-85ADT,,Z tengely burkolatán gumi tömítés,Csatolt email,1db,CsZ,
SZÉV2024-396,TRUE,ERA,11.11,,,2024.11.14.,2024/000001366,,SZÉV-Raktár,,,"20-00000876-00, Relé / Omron G2R-1-SND DC24(S) (1 érintkezős relé,Relé   20 db
20-00000878-00, Relé /  Omron G2R-2-SND DC24(S) (2 érintkezős relé)           20 db",Csatolt email,20 db-20 db/10-10 db érkeztt,AL,
SZÉV2024-397,TRUE,GYE,11.11.,,1,2024.11.12.,2024/000001343,M08270,ALSTOM HUNGARY KFT.,EmB-1300,,"Golyósorsó csapágy ""Y"" tengelyre: 6db 30TAC62CSUHPN7C/10-10001875-00 + 1db 6206 C ZZ",Csatolt email,6+1db,CsZ,
SZÉV2024-398,FALSE,GYE,11.11,,,,,M16283,KELET-SZERSZÁM KFT.,VD-510S,,"52-es kompenzációs lemez,
Csapágy / 6205 T2X.LLB.C3/ L051QTK  magas fordulatú csapágy NTN,10-10003191-00",Csatolt email/fotó,2-2 db,AL,
SZÉV2024-399,FALSE,GYE,11.11.,,,,,M22015,"SZÉV tartalék
(First-Tech VD-510-ről leszerelt",VD-510S,,"52-es kompenzációs lemez, Csapágy / 6205 T2X.LLB.C3/ L051QTK  magas fordulatú csapágy NTN,10-10003191-00",Csatolt email/fotó,2-2 db,AL,
SZÉV2024-400,TRUE,IMP,11.12,,,2025.05.29.,BET2025/01757,M13049,MST,EmB-1604B,,Y tengely teleszkópos burkolat,Csatolt email,1db,CsZ,
SZÉV2024-401,TRUE,IMP,11.13,R,,2025.02.11.,BET2025/00457,"M17056, M24002","Inlong, Somapak",Kondia B-640,,Kondia B-640 energiavezető 2 db,Csatolt email/fotó,2 db,CsZ,
SZÉV2024-402,FALSE,IMP,11.13,R,,,,,SZÉV tartalék,,,10-00027280-00:Tartalék / Q-0112-00101 Munkatér lámpa JF-WN20DB 10 db,Csatolt email,10 db,CsZ,
SZÉV2024-403,TRUE,IMP,11.13,R,,2024.11.28.,BET2024/04042,M21190,"Plasma-Tech, SZÉV tartalék",KAFO KMC-4127,,Átvezető hüvely KAFO KMC/RV típus 2 db,Csatolt email/fotó,2 db,TV,
SZÉV2024-404,TRUE,GYE,11.14,R,,2025.02.11.,,,SZÉV-Raktár,,,Kiegyensúlyozó 5 x 6-os,Csatolt email/fotó,10 csomag,AL,
SZÉV2024-405,TRUE,IMP,11.14,R,,2025.05.29.,BET2025/01758,,SZÉV tartalék,SFM-760,,Tárforgató motor ROTOM 5RK60GN-CPTs 220V-os 10 db ,Csatolt email/fotó,10 db,SA,
SZÉV2024-406,FALSE,IMP,11.14,R,,,,,SZÉV tartalék,,,SOLPOWER főmotor kapocsléc 5 db,Csatolt email/fotó,5 db,SP,
SZÉV2024-407,TRUE,ERA,11.15,,,2024.11.26.,2024/000001429,M24024,K-KART spol. s.r.o. + SZÉV-Raktár,TMV-1050A-2,,Relé 24V,Csatolt email/fotó,1+2 db/ 2db érkezett,AL,
SZÉV2024-408,FALSE,GYE,11.15,,,,,,SZÉV-Raktár,,,Csapágy 625-2Z,Csatolt email/fotó,10 db,AL,
SZÉV2024-409,TRUE,ERA,11.15,,,2024.12.04.,2024/000001456,,SZÉV-Raktár,,,"Relé / Omron G2R-1-SND DC24(S) (1 érintkezős relé),20-00000876-00",Csatolt email,30 db,AL,
SZÉV2024-410,TRUE,GYE,11.15,,,2024.11.19.,,,Sanatmetal,,,Szelep és nyomás szabályzó,Csatolt email/fotó,1-1 db,AL,
SZÉV2024-411,TRUE,ERA,11.18,R,,2024.11.19.,2024/000001378,M17186,METALCONSTRUCT ZRT. + SZÉV-Raktár,VD-510,,FZG 400×65-22 2 db,,2 db,SzI,
SZÉV2024-412,TRUE,GYE,11.18,R,,2024.12.04.,,M11215,Frank Hunária,EmR-1020D,,"EmR-1020D - biztonsági üveg (665x365x11,5mm - többrétegű ragasztott) 1 db",,2 db,CsZ,
SZÉV2024-413,TRUE,Babett,11.18,R,,2024.11.19. 2025.01.07.,BET2025/00013,M18169,MAGYARMET KFT.,MXS-650DD,,tswu kwan szivattyú TK4U motorhoz (TK4U / TK-20 208 pump),Csatolt email/fotó,5 db/ 1 db érkezett Ma 5 db érkezett,CsZ,
SZÉV2024-414,TRUE,GYE,11.18,R,,2024.11.20.,2024/000001387,M20020,MST ENGINEERING KFT.,MM-760,,"Főorsó csapágy - 7012 CD P4 ADBCA (3db) VAGY 7012CTRSULP3, O gyűrű 114.4x3.1 (3db), O gyűrű 6x1.5mm (1db) - orsó Royal 8.000 RPM - TH0547",Csatolt email,3-3-1 db,CsZ,
SZÉV2024-415,TRUE,GYE,11.18,R,,2025.01.21.,,M14300,VÁG-TECH KFT.,EmR-1200B,,"Forgócsatlakozó / Deublin (902-120-188) forgócsatlakozó,10-00002612-00",Csatolt email,1 db- A YONIX-hoz lett beküldve,CsZ,
