SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés GYE,Igénylő,
SZÉV2022-442,FALSE,GYE,09.20.,,0,,,-,SZÉV tartalék,HG-400,Slepp koszlehúzó,-> IMP,,BÁ,
SZÉV2022-443,TRUE,Babett,,,,,,,SZÉV tartalék,,"20-00009221-00 500db kontaktstift D=1,0mm (60.013.11)",SZR2022/03082,,DÁ,
SZÉV2022-444,TRUE,IMP,09.20.,,,01.20.,,M12002,TS HUNGÁRIA KFT.,VL-100C,"""X"" tengely vezetékvédő burkolat",,,CsZ,
SZÉV2022-445,TRUE,GYE,09.21.,,0,11.24,,-,SZÉV tartalék,Tomill-xxx,"8 db 6204-2RSH
8 db 51204",,,BÁ,
SZÉV2022-446,TRUE,ERA,09.21.,,,,,,SZÉV tartalék,,"5db Zettler relé 24v, 8A",,,DÁ,
SZÉV2022-447,TRUE,GYE,09.21.,,1,09.22.,,,SVG,,László Feri kér egy darab 50 baros nyomásgombát,,Adrián SOS beküldte,LR,
SZÉV2022-448,TRUE,GYE,09.22.,,,,,,SZÉV tartalék,,10db 6002ZZ ,,,DÁ,
SZÉV2022-449,TRUE,GYE,09.22.,,,10.26.,,,SZÉV tartalék,,RPP5 455/8-11 szíj ,,,DÁ,
SZÉV2022-450,FALSE,GYE,09.22.,,,,,,SZÉV tartalék,,3db Omron D4SL-N ajtóretesz nyelv,,,DÁ,
SZÉV2022-451,FALSE,GYE,09.23.,,0,,,,SZÉV tartalék,,"5 db DEUBLIN 902-120-188
5 db BEUBLIN 1109-202-188",,,BÁ,
SZÉV2022-452,FALSE,ERA,09.23.,,0,,,-,BORSODI MŰHELY KFT.,Inturn 320,"10 m 12x0,75 YSLY kábel",,,BÁ,
SZÉV2022-453,FALSE,IMP,,,,,,M14151,TECHSZERVIZ KFT,GU3260NC,"GU32X60 / Papírszűrő,10-00028824-00 - 3db",,,CsZ,
SZÉV2022-454,TRUE,ERA,09.27.,,,10.27,,,SZÉV tartalék,,nyomógomb védő gumi sapka,,,DÁ,
SZÉV2022-455,TRUE,GYE,09.27.,,1,10.29.,,M13074 / M19095,MAGYARMET KFT.,MAHO GRACIANO:GR300C ,SAUTER motor,kép mellékelve,,BÁ,
SZÉV2022-456,TRUE,GYE,09.28.,,0,09.30.,,M13143,SZIMIKRON KFT.,EmL-510E,"5/2, monostabil szelep",Eredeti: Chanto Modell: VE3130,ok,CsZ,
SZÉV2022-457,TRUE,GYE,09.28.,,,09.28.,,,SZÉV tartalék,,trafó 630VA 400/230V,,,DÁ,
SZÉV2022-458,FALSE,IMP,09.29.,,1,,,idegen beszerzés [sn: M405732],K-FORM,Chmer CM-A64C,SPC3CRNT kártya,,,LR,
SZÉV2022-459,TRUE,LOG,09.29.,,1,,,M11228,DOROTI PACK KFT.,SNUPY,EPU-SIS,,,BÁ,
SZÉV2022-460,FALSE,IMP,09.30.,,,,,Y5187/1986,BOMBARDIER,Mitsubishi MPA H50A,körasztal kuplung szett,csatolt képek,,CsZ,
SZÉV2022-461,TRUE,GYE,10.03.,,0,,,M21079,MST,MM-850E,Klíma: Habor HBO-250PTSB4 - 400V,felújított és új kiváltó is érdekel,ok,CsZ,
SZÉV2022-462,TRUE,GYE,10.03.,,0,,,M17137,VÁMOSGÉP KFT.,WFQ-80,"1 db INA ZARN 50110-TV
1 db INA ZARN 5090-TV",,ok,BÁ,
SZÉV2022-463,FALSE,IMP,10.03.,,1,,,M17134,MECI ÉS TÁRSA,KAFO CV-7A,kar forgató motor,mellékelt kép,,BÁ,
SZÉV2022-464,TRUE,GYE,10.03.,,0,SZTORNÓ!,,M04099,DARU-MÁTÉ BT.,K-B1050A,főhajtás szíjtárcsa pár (DAF132 motorhoz),,stornó,BÁ,
SZÉV2022-465,FALSE,IMP,10.03.,,0,,,M07271,SZŰCS JÓZSEF EV,EmB-1300,"1 db behúzó szár
5 db DIN 40 csipesz",,,BÁ,
SZÉV2022-466,FALSE,ERA,10.03.,,,,,,SZÉV tartalék,,2db ajtókapcsoló Omron D4SL-N4AFA,,era,DÁ,
SZÉV2022-467,TRUE,ERA,10.04.,,,10.05.,,,SZÉV tartalék,,"20db 2 körös relé, 20db 2körös relé foglalat, 10db 1 körös relé",,ok,DÁ,
SZÉV2022-468,TRUE,GYE,10.04.,,,10.05.,,,SZÉV tartalék,,"3db fekete sziló, 2db fehér sziló",,ok,DÁ,
SZÉV2022-469,TRUE,GYE,10.04.,,,,,,SZÉV tartalék,,"[10-01000251-00] Szelep / Mágnesszelep vízhez BB 3/4""-os menettel + ZB10A mágnes + stekker
[10-01000175-00] Szelep / Mágnesszelep vízhez BB 1/2""-os menettel + ZB10A mágnes + stekker",,ok,DÁ,
SZÉV2022-470,TRUE,GYE,10.04.,,,,,,SZÉV tartalék,,"4db [10-00033061-00] nyomásmérő óra 35bar 1/4"" hátsó csatlakozó",,,DÁ,
SZÉV2022-471,TRUE,GYE,10.05.,,,,,M09014/M19095,Magyarmet kft.,TNL-120AL,2db géplámpa és 1db üveg 340x130x10,üveg megrendelve,ok,DÁ,
SZÉV2022-472,FALSE,GYE,10.06.,,,,,,,,,,,,
SZÉV2022-473,TRUE,IMP,10.06.,,,SZTORNÓ,,M10119,K-Kart,EmR-1200D,"X lineáris vezeték, hozzá tartozó lineár papucsok(bricks)",,,BÁ,
SZÉV2022-474,TRUE,GYE,10.06.,,,-,,,SZÉV tartalék,,M6x20 belső hatlapfejű fekete csavar,sztornó - nekik sincs,ok,DÁ,
SZÉV2022-475,TRUE,IMP,10.06.,,0,12.09.,,M13032,Hetech Kft.,Shem vésőgép,Shem vésőgép alkatrészek,,,CsZ,
SZÉV2022-476,FALSE,IMP,,,,,,,,,,,,,
SZÉV2022-477,FALSE,Babett,10.10.,,1,,,M11302,HANTECH GÉPGYÁRTÓ ÉS FORGALMAZÓ ZRT.,Pinacho ST-310DT/2000,DAF132K23A20-5 BAUMÜLLER Főmotor,,eredeti megtekercselve,CsZ,
SZÉV2022-478,TRUE,GYE,10.11.,,0,,,,SZÉV tartalék,,"50 db 10-00016094-00 csőszár d6 mm egyenes rövid
50 db 10-00016094-00 csőszár hüvely d8,6 mm",,ok,BÁ,
SZÉV2022-479,FALSE,GYE,10.12.,,,,,,SZÉV tartalék,,"4db 10-10005347 Hydac 1251193 0050 S 125 W T/EJ-D szívóági szűrő 1"" B (DK-7732)",,folyamatban sa,DÁ,
SZÉV2022-480,TRUE,IMP,10.14.,,0,,,M21069,BÍRÓ KFT.,EmL-1600E,Y hátsó slepp lehúzó tömítés,,,BÁ,
SZÉV2022-481,FALSE,IMP,10.14.,,1,,,M11014,MNR FÉMMEGMUNKÁLÓ ÉS SZOLGÁLTATÓ KFT.,Baoma DB703,BCM 90BC5100A,,,BÁ,
SZÉV2022-482,TRUE,GYE,10.17.,,1,,,M15173,VÁRDA FERRO IPARI KERESKEDELMI SZOLGÁLTATÓ KFT. ,EmB-1605G,Deublin 902-120-188 forgóátvezető,,ok,BÁ,
SZÉV2022-483,TRUE,GYE,10.17.,,,11.02.,,,SZÉV tartalék,,2db Ais132LW8-15H csapágy garnitúra,"A beérkező csapágyak továbbítva lesznek Csapó úrnak, a motorok tartalékba lesznek -> CC3-10-107hez megjöttek a csapágyak",ok,DÁ,
SZÉV2022-484,TRUE,GYE,10.18.,,1,,,M11302,HANTECH GÉPGYÁRTÓ ÉS FORGALMAZÓ ZRT.,Pinacho ST-310DT/2000,"1 db SKF 6310-2Z/C3
1 db SKF 6312-2Z/C3",,ok,BÁ,
SZÉV2022-485,TRUE,GYE,10.18.,,1,11.17,,M13049,MST ENGINEERING KFT.,EmB-1604B,4 db FAG HS-7014-CT-P4-SUL - 10.000 rpm ,,,BÁ,
SZÉV2022-486,TRUE,ERA,10.19.,,,10.20,,,SZÉV tartalék,,"LAN aljzat (fehér kis doboz) 3db, RJ45 csati (sárga ""tokkal"") 5db, Kék kábel 1x0,75 min 20méter",,,DÁ,
SZÉV2022-487,TRUE,GYE,10.19.,,1,11.03.,,M17203,DOROTI PACK KFT.,MM-850SV,Deublin 1109-020-188,,,BÁ,
SZÉV2022-488,TRUE,LOG,10.20.,,,10.20.,,M18180,DGA GÉPGYÁRTÓ ÉS AUTOMATIZÁLÁSI KFT. GULÁCS-FÉM KFT.,KAFO-NCT BMC-2012,1 db Aib28-54-25-EH/E hengeres retesz nélküli motort,,,DÁ,
SZÉV2022-489,TRUE,GYE,10.20.,,,10.27.,,,SZÉV tartalék,,"1-1db 1,5 és 2-es fúrószár, BT40es sz.behúzóerőmérő gomba",,,DÁ,
SZÉV2022-490,TRUE,LOG,10.20.,,,10.20.,,,SZÉV tartalék,,"5db TTLCAN 40-00010379-02
4db ENDAT 40-00010379-03
2db SENS 40-00010380
4db TTLADO 40-00010379-40
2db EPU 40-00010364-00
2db EPU-R 40-00010364-20","- 5db TTLCAN 40-00010379-02 -> 2 db-ot kaptunk
- 4db ENDAT 40-00010379-03 -> 2 db--ot kaptunk",,DÁ,
SZÉV2022-491,TRUE,LOG,10.24.,,,10.28.,,,SZÉV tartalék,,"10db Sunon DP200A 120x120 20-00001058-00
5db Sunon MF92252V1 DC24V 90x90
5db Sunon EE80252S1 80x80 20-00001710-00
5db Sunon MB60252V1 DC24V 60x60
20méter 10x0,14 + 2x0,5 TTL jeladó kábel","első 2 Erikától, maradék logisztikáról elhozva",,DÁ,
SZÉV2022-492,TRUE,GYE,10.26.,,0,,,,SZÉV tartalék,,10-10005449-00 szűrőbetét 10db,,ok,CsZ,
SZÉV2022-493,TRUE,ERA,10.26.,,0,10.27.,,M19023 / M19073,NIVELCO ZRT.,TCS-2500L / DUAL-65,"2 db GV2ME07 + 2 db segédérintkező ( NO )
2 db LP1K0901BD",,ok,BÁ,
SZÉV2022-494,TRUE,GYE,10.26.,,0,11.08,,M14140,VARRIVÁL KFT.,JCL-75,1 db 400 x 400 x 3 plexi,,ok,BÁ,
SZÉV2022-495,FALSE,GYE,10.26.,,0,,,M14140,VARRIVÁL KFT.,JCL-75,Pneumatika / Szűrőegység csésze (FR 3-08-30-S),10-10002914-00 (csak csésze kellene),"Csésze nincs, csak komplett. 5db rendelve",CsZ,
SZÉV2022-496,TRUE,Babett,10.27.,,1,,,M06150,RÁBA FUTÓMŰ KFT.,EPA-320,Baruffaldi LS-160 alkatrészek,csatolmány,,BÁ,
SZÉV2022-497,TRUE,IMP,10.28.,,0,01.16.,,M10336,BÍRÓ KFT.,Protur2x2=JSL-32AB,„X” védőburkolat,,,CsZ,
SZÉV2022-498,TRUE,GYE,10.28.,,,11.02.,,,SZÉV tartalék,,12db nsk 30tac,,ok,DÁ,
SZÉV2022-499,TRUE,Babett,10.28.,,0,,,M18211,Metarad,RY-42,"Barload VITO rúdadagoló ajtaján lévő gázteleszkópra, 2db-ra",,,LR,
SZÉV2022-500,FALSE,GYE,10.28.,,,,,,SZÉV tartalék,,ais motor csapágyak Smiciéknek,,folymatban . IJ,DÁ,
SZÉV2022-501,TRUE,GYE,11.02.,,,,,,SZÉV tartalék,,3db M6 menetfúró,,ok,DÁ,
SZÉV2022-502,TRUE,GYE,11.02.,,0,,,M20018,CSABA-BERÉNYI GÉPGYÁRTÓ KFT.,HBM-4,5 tag M4453SE R250 energia vezető + fedőlap,IMP-en is elindítva,ok,BÁ,
SZÉV2022-503,TRUE,GYE,11.03.,,,11.04.,,M18248,MXS-300,Losonczi,SMC SY7120-5YO-02F-X10-Q szelep,,,DÁ,
SZÉV2022-504,TRUE,Babett,11.03.,,,03.12.,,-,SZÉV tartalék,-, CJK-6132 / Késtartó pozíció jeladó,,,CsZ,
SZÉV2022-505,TRUE,IMP,11.03.,,1,,,-,SZÉV tartalék,,Baoma alkatrészek számla kiegészítés miatt,,,BÁ,
SZÉV2022-506,FALSE,GYE,11.04.,,,,,,SZÉV tartalék,,"Pál Ignácnak bit készlet, csapkiütő készlet, karctű",,megrendelve,,
SZÉV2022-507,TRUE,GYE,11.04.,,0,11.17.,,M20083,ROYAL PRODUCTION KFT.,EmL-1020E,4 db B7014-C-T-P4S-UL ,,,BÁ,
SZÉV2022-508,TRUE,ERA,11.07.,,,11.11.,,,SZÉV tartalék,,5db RJ45 szerelhető csatlakozó,,,DÁ,
SZÉV2022-509,FALSE,Babett,11.07.,,0,,,M21134,LOVÁSZ LÁSZLÓ IMRE EV,MINIturn-320 (CJK6132/500),WD118-6 revfejbe való pozíció adó,,,BÁ,
SZÉV2022-510,TRUE,IMP,11.07.,,0,12.20.,,M20082,BOGNÁR ÉS TÁRSA KFT.,KAFO-NCT KMC-3122,Szögfej tömítés készlet,,,BÁ,
SZÉV2022-511,TRUE,GYE,11.07.,,1,11.17.,,M15262,CONTINENTAL AUTOMOTIVE HUNGARY KFT.,MM-760,3 db 7012CDGAT/P4A,,ok,BÁ,
SZÉV2022-512,TRUE,GYE,11.08.,,1,,,M05089 / M18231,BIOTECH / DOROTI,K-B640 / MM-850,2 db DEUBLIN 1109-02-188,1 db jött,ok,BÁ,
SZÉV2022-513,TRUE,GYE,11.09.,,,,,,SZÉV tartalék,,2db T5-510-25 szíj,,ok,DÁ,
SZÉV2022-514,TRUE,GYE,11.14.,,,11.17.,,,SZÉV tartalék,,2db 635-5M-25,,,DÁ,
SZÉV2022-515,TRUE,ERA,11.14.,,,11.15.,,,SZÉV tartalék,,"50m 2x0,75 kábel",,,DÁ,
SZÉV2022-516,TRUE,GYE,11.14.,,1,11.28.,,"???
05 104 015",PEPPERL+FUCHS KFT.,Tomil-160,"3 db FAG B7009E.2RSD.T.P4SUL
1 db 6204DU C3
1 db 6203Z C3",,,BÁ,
SZÉV2022-517,TRUE,GYE,11.14.,,0,11.17.,,-,SZÉV tartalék,-,10 db 6200-2Z,,,BÁ,
SZÉV2022-518,TRUE,IMP,11.16.,,,01.19,,M18246/P20162,MST ENGINEERING KFT. ,MXS-400DD,3db vizező golyó - árajánlat,,,DÁ,
SZÉV2022-519,TRUE,GYE,11.16.,,1,,,M15118,DÖMÖTÖR ÉS CSALÁDJA BT.,EURO-12 (EURO-65),1db Nordman SWH-G02-D2-A220-10 hid. szelep,sztornó,,DÁ,
SZÉV2022-520,TRUE,IMP,11.16.,,0,,,-,Avidafa,CM-A53C,CDS-0715FEC-CH (hajtáskártya),Nem kérték,,CsZ,
SZÉV2022-521,TRUE,IMP,11.18.,,0,,,-,SZÉV tartalék,-,Anson PVF-30-70-118,,,BÁ,
SZÉV2022-522,FALSE,GYE,11.18.,,,11.02.,,gy.sz.: 356,APTIV,Tomill-250,"4 db 6204 A 2RS
4 db 51204 A
2 db Tomill-250 golyósorsó <10-00000250-10>",,,BÁ,
SZÉV2022-523,TRUE,Babett,11.18.,,,,,M15245,DENDRIT,K-B-640 ,CNC-151 RB körasztal [0415820] fék alkatrészek,,,BÁ,
SZÉV2022-524,TRUE,GYE,11.22.,,1,11.23.,,M17191,VÁMOSGÉP KFT.,WFQ-80NCT7,szíj: Obtibelt Omega 1344 14 M - 85mm,,ok,CsZ,
SZÉV2022-525,FALSE,LOG,11.22.,,,,,M19004,"
PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.  M19004 hiba",BMC-2015,1db Aib28-54-25-EH/E,,,DÁ,
SZÉV2022-526,TRUE,GYE,11.24.,,,11.30,,-,Juhász,Dugard Eagle,4db B7014E.T.P4S.UL csapágy,,,DÁ,
SZÉV2022-527,TRUE,GYE,11.24.,,,11.30.,,,SZÉV tartalék,,"2db 6207ZZ
2db 6208ZZ",,,DÁ,
SZÉV2022-528,FALSE,GYE,11.25.,,,,,,SZÉV tartalék,,10db 3x16 hasított szeg ,,ok,DÁ,
SZÉV2022-529,TRUE,IMP,11.28.,,0,09.19.,,M07153,MSK,EmL3000,"""X""-""Y""-""Z"" teleszkópos burkolat",,,CsZ,
SZÉV2022-530,TRUE,GYE,11.29.,,,11.30.,,-,Juhász,Dugard Eagle,1db NSK 6208V 1db NSK 6206V (gumi porvédős),,,DÁ,
SZÉV2022-531,FALSE,GYE,11.29.,,,,,M19094,Vivber,MATEC 30HV,2db fogasakerékre árajánlat,,IJ folymatban,DÁ,
SZÉV2022-532,FALSE,IMP,11.30.,,,,,,SZÉV tartalék,,HPB VM100L 10db kapocslap,1 db-ot a LOG-nak visszapótolni,,DÁ,
SZÉV2022-533,TRUE,GYE,11.30.,,1,12.13,,M18264,ELEKTRONIKAI KUTATÓKÖZPONT KFT.,VD-510S,4db hcs7008-c-t-p4s-ul,,,DÁ,
SZÉV2022-534,TRUE,GYE,12.09.,,,12.15,,,SPH,,"5-db Szűrő / Komplett szűrőház 8 bar hűtőkörökre (3/4""BSP - 90 mikron)","10-00001512-00 (3db ÜF, 2db SZÉV tartalék)",ok,CsZ,
SZÉV2022-535,FALSE,IMP,12.02.,,0,,,M05283,LOG VALVE,TMV-1050A,Szerszámtartó csésze / zseb,,,CsZ,
SZÉV2022-536,FALSE,ERA,12.02.,,,,,,SZÉV tartalék,,5db SMC ISE2-01-55CL nyomáskapcsoló GSA körasztalhoz ,,,DÁ,
SZÉV2022-537,FALSE,GYE,12.02.,,,,,,Marostech,Golden Sun 200,"2db + 5db tarcsi D06-R1/4 belső menetes pneu. csati, 1db + 4db tarcsi kornei 180-4E1 körasztal szelep ",,SA folyamatban,DÁ,
SZÉV2022-538,TRUE,GYE,12.02.,,,12.07.,,,NCT fejlesztés,,erőfokozó olaj csésze,,,DÁ,
SZÉV2022-539,FALSE,GYE,12.05.,,0,,,,SZÉV tartalék,,"10-00009263-00,Tartalék / TNL-120ALII / Szivattyú / PVF-30-55-10S","hozzá való motort is kérünk, hogy szettben legyen",imp,CsZ,
SZÉV2022-540,TRUE,IMP,12.07.,,0,01.19,,M15123,DAL-TIM,Mindman MACP-300L,Mindman levegőelőkészítő csészék - 20db,10-00033113-00,,CsZ,
SZÉV2022-541,TRUE,IMP,12.08.,,1,01.03,,M20082,BOGNÁR ÉS TÁRSA KFT.,KAFO-NCT KMC-3122,AU-35II alkatrészek,,,BÁ,
SZÉV2022-542,TRUE,GYE,12.09.,,1,12.13,,M13243,BÍRÓ KFT.,TAJMAC.ZPS.H400.MMK-004,"1 db hidr. útváltó
1 db hidr. vez. visszacsapó",,,BÁ,
SZÉV2022-543,TRUE,IMP,12.12.,,1,01.13.,,M22146,Naty Original SRL,BAOMA-NCT DK7732F,BMW-3000-3SV1.0 kártya,,,CsZ,
SZÉV2022-544,TRUE,IMP,12.12.,,1,01.18.,,M15218,CSABA METÁL ZRT.,KAFO-NCT KMC-3127,"ISO-50 szerszámcserélőkar szerszám megfogókra lenne szükség, 2db",,,CsZ,
SZÉV2022-545,TRUE,LOG,12.13.,,0,,,-,SZÉV tartalék,,"15""+19"" érintőképernyő + 15"" monitor (NCT2XX)",,,CsZ,
SZÉV2022-546,TRUE,IMP,12.15.,,,,,M10194,MVM MÁTRA GÉP KFT., EmB-1605G,Árajánlat függőleges (Z) irányú vezetékvédelemre,,,DÁ,
SZÉV2022-547,FALSE,GYE,12.22.,,0,,,-,NCT,-,AMS180 csapágy készlet,,,BÁ,
SZÉV2022-548,FALSE,IMP,12.22.,,0,,,M12002,TS HUNGÁRIA KFT.,VL-100C-karusszel,szerszámtartó,A2022/04475,,CsZ,
SZÉV2022-549,FALSE,GYE,03.06.,,0,,,M11253,Primaró Kft.,SMART-42,9 db 3VX-670 szíj,,,BÁ,
SZÉV2022-550,FALSE,,,,,,,,,,,,,,
