Sorszám,Kész,Munkaszám,Beérkezés,Ki hozta be?,Kiszállítás / Elkészülés,Megrendelő,Géptípus,"Gépépítőelem 
megnevezése","Gépépítőelem 
típusa","Gépépítőelem 
sorozatszáma",Hibajelenség,Mechanikus munka,Elektromos munka,Dolgozó(k),Telephelyi munkaóra,"Gépészeti 
 munka", Mechanikus anyagok, Elektromos anyagok," Külsős megbízásos munkák, beszállítók","Tartozékok, megjegyzés",fiz/gar,✓,
TH0082,0,M20034,2021.05.07.,,2022.01.18.,NCT,TOS FV-30,Komplett gép,,,"Villamos korszerűsítés, mechanikus átvizsgálás, felmérés","Geometriai mérés, mechanikus elemek beépítése",Elektromos egységek cseréje,Kiss F,2x16 óra,,"körasztal RT 2000  CNC: 1db O gyűrű 41.5 x 2 (61.2Ft) ✓
1db szimering:  20 x 35 x 10  (198 Ft) ✓ 
Szíj / Fogasszíj L/232/100 (590,55/25,4 mm),10-11000101-00 - 1 db 
Szíj / L/345/19 mm,10-00004495-00 - 1 db 
Szíj / Fogasszíj L/277/100 (704,85/25,4 mm) 10-11000102-00 - 1 dbFőorsó csapágy, 4 db  réz távtartó/ plexi burkolatok","DPU1504/15"" képernyő:1 db  MK1504 gépi kezelőpanel:1 db  EPU-SIS EtherCAT periféria csatoló egység és szoftver védelem: 1 db  HWM kézikerék,:1 db  I32C/32DSUB csatlakozós bemeneti modul:1 db  O32C/32 vonalas DSUB tranzisztoros kimeneti modul: 1, TTLAC/1 csatornás TTL jeladó bemeneti és analóg vagy CAN BUS kimeneti modul: 4 db  , MUEXE-AS/5-szörös SINUS mérőrendszer jel interpolátor: 3 db,PDC-3-40-24-R3 fázisú főtápegység modul:1 db , IPS01 tápegység, 24 VDC:1 db , DSC-10/20-LE szinkron szervohajtás tengelymodul: 3 db , DSC-10/20-RE szinkron szervohajtás tengelymodul:1 db  A6-54-30-EH/E szinkron szervomotor:3 db ",,,,,
TH0083,0,M15292,2021.05.07.,,2024.07.31. átszállítás Taksonyba,INFRACONT KFT.,"FQS-40CNC ""GLORIA""",Komplett gép,,,"Villamos korszerűsítés, mechanikus átvizsgálás, felmérés","Csapágyak (6 db ), bordásszíjak beszerelése
2023.04.18-án megkaptuk a víztálcát lefestve",Gyéresi Cs.,"Schmiedmeiszter P.
Budai A., Kiss F.",8 óra+24,,"10-00037124-00 Csapágy / 6012 2Z 10-00002751-00, Csapágy / 6203 ZZ SKF  10-00001801-00, Csapágy / 6203 2RSH SKF  
6 db 10-10006624-00 CSapágy/7304B 
2 db  bordásszíj 480RPP8  137
O 72 x 1,5 FKM80
Felső Tárcsa átm (Behúzó kioldó),00-70069054-00 
Rögzítő tárcsa átm (Behúzó kioldó),00-70069053-00 
10 db Hidraulika / TN88 Vágógyűrű 08LS (TD88-08LS),10-10005564-00 
10 db Hidraulika / TN81 Metrikus hollander 08L - M14x1,5 (TN81-08L),10-10005565-00 
2 db Hidraulika / TN99 L-idom 08L - M14x1,5 (W-08L-OMD),10-00023091-00 
Tömlő / DKOL-081615OH, YK-08, 1SN-08,  0°-os elforgatási szög, 2250 mm,10-08161508-00 
Hidraulika / TN92GG egyenes csőcsavarzat M16x1,5/ BSP 1/2""(TN92GG-10LR12),10-92161512-00",DAC-20/40 LT sn: 43C-13-5471,,bordásszíjakra vár 02.15.-re ígérve -> megjött,,,
TH0084,0,M08100,2021.05.10.,,2021.05.28.,LE BELIER MO ZRT.,WHN-9B,"Hajtómű 
Főmotor","BARUFFALDI CE-12 
HPB VM132M 8.000 RPM",,"Hajtómű csapágyas, motor csapágyas","Főmotor: bontás, tisztítás, csapágycsere, jeladócsere, összeépítés, járatás
CE-12: javító készlet rendelése Baruffalditól (csapágyak, tömítések)","Jeladó újrabekötése (a járatáshoz NCT szerint, a gép HDH vezérlős!)","Tóth I., Ömböli Z., Budai A., Rákosréti J.",4 + 6 + 8 + 4 óra,-,"Csapágyak:
1 db SKF 6307 ZZ C3 (főmotor)
1 db SKF 6309 ZZ C3 (főmotor)
1 db Baruffaldi javítókészlet a hajtóműhöz (SZÉV2021-0151)
1 db Rotex GS 48 kuplung betét piros (Powerbelt)
Csapágyak (javítókészletből):
1 db SKF 2208EC hengergörgős
1 db SKF QJ206MA bronzkosaras golyós
1 db SNR NUP.208.E.G15 hengergörgős
1 db SKF 16016 golyós
1 db KM 06 csapágyanya

Tömítések (javítókészletből):
1 db Szim. 50 x 72 x 8 FPM80
1 db Szim. 65 x 85 x 10 FPM80
1 db O 25,3 x 2,4 NBR70
1 db O 61,6 x 2,4 NBR70
1 db O 8,9 x 1,90 NBR70
1 db O 190,1 x 3,53 NBR70","Jeladó:
1 db Tamagawa SIN 1024 (főmotor)","Baruffaldi, Powerbelt",,,,
TH0085,0,M10119,2021.05.11.,,2021.05.20.,K-KART spol. s.r.o.,EmR-1200D,Főmotor,AiS 100 LW-15H max. 8.000 RPM,2011-017,Motor zárlatos,ÜF cseremotort kap: AiS100LW-15-26H(D) (CC2-10-4012) átfúrt 15 000 rpm + csapágyhőmérséklet + Deublin(902-120-188),,"Belencsák Á., Budai A., Rákosréti J.",,-,1 db Deublin 902-120-188,1 db Lenord Bauer GEL2444,-,Eredeti motort nem újítjuk fel (régi konstrukció miatt),,,
TH0086,0,M08086,2021.05.18.,,2021.05.27.,JAVEL-INN KFT.,Slovtos S-280,Főmotor,Siemens 1LA7133-4AA60-Z // UD 0908,1228228-001-1,Motor csapágyas,"Motor tisztítása, bontása, csapágyak cseréje, összeépítés, járatás, egyensúlyozás
(Jeladó típusa: ERN 420 1024, nem lett cserélve)",-,"Budai A., Rákosréti J.",6 + 2 óra,-,"Csapágyak:
1 db SKF 6208 ZZ
1 db SKF 6308 ZZ C3",-,-,,,,
TH0087,0,M14327,2021.05.13.,,2021.05.19.,AXICONT KFT.,MM-760,Főmotor,HPB VM100S 8.000 RPM,14052610E,Motor csapágyas,"Motor bontása, csapágyak cseréje, összeépítés, próbajáratás",-,"Gulyás J., Budai A., Rákosréti J.",2 + 4 + 2 óra,-,"Csapágyak:
- 1 db FAG 6306 ZZ C3 (főmotor)
- 1 db KOYO 6307 ZZ C3 (főmotor) 
- 2 db 6307 2RS1/C3_S",,Gördülő Simmering,,,,
TH0088,0,M11087,2021.05.17.,,2021.06.10.,EFT ÉS TÁRSAI SZERSZÁMÉLEZŐ ÉS GYÁRTÓ KFT.,JCL-75AHD-CNC,Motor,LENZE MCA 13I34-RS0B0-B19N-ST5F10N-R0SU [ID: 15340028],1534002810000172415187,"Motor zárlatos, csapágyas","Motor tisztítása, bontása, állórész tekercseltetése, csapágyak cseréje, összeépítés, járatás, egyensúlyozás",,"Budai A., Ginter E., Rákosréti J.",5 + 1 + 2 óra,-,"Csapágyak:
1 db Koyo 6203 ZZ C3
1 db SKF 6204 ZZ C3","Jeladó:
1 db Tamawaga TTL 1024","Germalex Kft., Villtek Kft.",-,,,
TH0089,0,M20162,2021.05.17.,,2021.06.24,"LISS PATRONGYÁRTÓ, TÖLTŐ ÉS FORGALMAZÓ KFT.",Smart-42,Komplett gép,,,Mechanikus feladatok elvégzése,,,Schmiedmeiszter P.,,,,,,,,,
TH0090,2,M13206,2021.05.17.,,,INDUSTRIEBEDARF KRÜGER GMBH (CZETEC S.R.O.),HG-400III. [016],Automata Paletta cserélő hidraulika kiemelő- és forgató szerkezet,APC,,"Félrebillen, nem emel ki","Szétbontás, alkatrészek tisztítása, átvizsgálás
Szeleptömb bevizsgáltatása Hikev-nél
Tömítések cseréje, újak beszerzése Seal Ring-től
Támcsapágy cseréje",,Budai A.,16 óra,,"Csapágy:
1 db NTN 51216 támcsapágy, acél kosaras
Tömítések:
1 db KN/SN21 75 x 85 x 06/07 NBR90 (SKY-75)
1 db KN/SN21 80 x 90 x 06/07 NBR90 (SKY-80)
1 db AD48 80 x 90 x 06/08 A
24 db O 8,9 x 1,8 NBR70 
1 db O 12 x 2 NBR70
1 db O 74,4 x 3,1 NBR70
1 db O 64,5 x 3 NBR70 ",-,"Plussz&Roll, Hikev, Seal Ring","49000 HUF nettó
2588 HUF nettó",,,
TH0091,0,M15116,2021.05.25.,,2021.06.09.,SZKALICZKI ÉS TÁRSAI KFT.,EmR-1020D,Főorsó,ROYAL direkt hajtású 15.000 RPM,,Főorsó felújítás,"Főorsó bontása, tisztítása, kúpköszörülés, csapágycsere, tányérrugó csere, munkahenger felújítás",-,Budai A.,,-,"Csapágyak:
4 db NSK 70BNR10HTSULP3
Tányérrugó:
56 db S4326 40x20,4x2,5 mm
Tömítések:
5 db G140 (139,4 x 3,1) NBR70
Munkahenger:
2 db O 114,2 x 5,7 NBR70
1 db O 118 x 3 NBR70
1 db O 80 x 3 NBR70
1 db X 100,97 x 5,33 NBR70
1 db X 78,74 x 5,33 NBR70",-,"Losonczi Innovation, Seal Ring",,,,
TH0092,0,M20101/M08290,2021.06.01.,,2021.06.11.,MST ENGINEERING KFT.,EmB-1300,Főmotor,BAUMÜLLER DAF132 K-23A15-5 + Deublin 1109-020-188 max. 7.500 RP,10900199,Főmotor csapágyas,"Motor átütés vizsgálata (OK), bontása, tisztítása, csapágyak cseréje, jeladó cseréje, összeépítés, járatás, egyensúlyozás
Deublin: 1109 helyett 902-es típus",-,"Budai A., Rákosréti J.",6 + 2 óra,-,"Csapágyak:
1 db NSK 6310 ZZ C3
1 db NSK 6312 ZZ C3","Jeladó:
1 db HDH ERN 1320 1024 (ID: 385423-18)",-,-,,,
TH0093,0,M21008,2021.06.03.,,2021.06.07.,SOPRONI SZAKKÉPZÉSI CENTRUM,Tomill-160,Teljes szerszámtár+,,,"szerszámváltás bizonytalan. Esetlegesen, váltáskor a főorson lévő menesztőköröm hozzáér a szerszámtartó magazinhoz és orsó kikapcsolási hibaüzenettel (00901) a gép leáll.","Tár test egyengetése, törtcsavarok kiszedése, menetek javítása, csavarok pótlása",-,Budai A.,4 óra,-,-,-,-,-,,,
TH0094,0,M09149,2021.06.03.,,2021.06.11.,KOKILLA PREC KFT.,MM-800,Körasztal,GSA CNC-200,,"rögzítés nem működik megfelelően, kottyan","Bontás, tisztítás, átvizsgálás, tömítések cseréje",Kábelvédő anakonda sérült részének kivágása,"Budai A., Schmiedmeiszter P.",8 + 8 óraTA,-,"Csapágyak:
2 db Nachi 7003
Levegőszelep:
1 db Airtac 4V11006BI DC24V
Tömítések:
1 db O 66,34 x 2,62 NBR70
1 db O 190,17 x 2,62 NBR70
1 db O 94,84 x 3,53 NBR70
1 db O 158,12 x 5,33 NBR70
1 db O 39,20 x 3 NBR70
1 db O 59,4 x 3,1 NBR70
1 db O 64,5 x 3 NBR70
1 db O 99,5 x 3 NBR70
1 db O 109,50 x 3 NBR70
1 db O 11,8 x 2,4 NBR70
2 db O 6,80 x 1,9 NBR70
1 db O 13,80 x 2,4 NBR70
1 db O 28 x 3,5 NBR70
1 db O 79,2 x 5,7 NBR70
1 db O 114,20 x 5,70 NBR70
",-,-,-,,,
TH0095,0,M10217,2021.06.14.,,2021.07.15.,SZKALICZKI ÉS TÁRSAI KFT.,MM-760,Főorsó,CELLS max. 8.000 RPM,SL-20603005,Főorsó csapágyazás,"Bontás, tisztítás, átvizsgálás
Főorsó csapágyak cseréje 
retesz csere
tányér rugók cseréje
járatás",,Budai A.,12 óra,-,"csapágyak:
2db 7010CTRDULP3
2db 7012CTRSULP3
retesz: 16 x 10 x 3
tányérrugó: 31.5 x 16.3 x 2 (92db)",,,,,,
TH0096,2,M17134,2021.06.07.,,,MECI ÉS TÁRSA KFT.,KAFO CV-7A,Főmotor,AiS 100-LW 26 H,CC2-10-4007,zárlatos,"ÜF cseremotort kapott! 
lecsupaszítás (előkészítés tekerecselésre)
Tekercseltetés
Felszerelés tartaléknak
Járatás, egyensúlyozás","Kötődoboz visszakötése
Jeladó cseréje",Budai A.,,-,"Csapágyak:
2 db SKF S7208
",,Liker motors,,,,
TH0097,0,M13243,2021.06.11.,,2021.06.15,BÍRÓ KFT.,TAJMAC.ZPS.H400.MMK-004,Palettacserélő,,,"a szerelőhelyen levő forgózsámoly csapágycserét igényel. Hibaüzenet : -------
",szétszerelés hibafeltárás csapágycsere összeszerelés,,"Budai A., Schmiedmeiszter P.",5 + 5 óra,,csapágyak: 7210 AA  (plusz and roll) 2x6110HUF,,,,,,
TH0098,0,M16282,2021.06.15.,,2021.0x.xx,KELET-SZERSZÁM KFT.,VD-510S,Főmotor,SOLPOWER SVM-75L-30,17110206C,"főorsója erősen búg, melegszik, az egész gép rezeg, nem tudunk dolgozni vele.","ÜF cseremotort kapott
szétszedés, zárlatos 
motor ventillátor csapágyazás (2 x 696)
motor csapágyazás",tekerecseltetés 06.15 (Dévaványa),Budai A.,8 óra,,"csapágyak: 
2 db 6205-2RSLTN9/C3VT162 SKF (főmotor)
2db 696 ZZ  R-1560ZZ (hűtőventillátorba) 2x 850HUF",,Liker motors,,,,
TH0099,0,M13320/M15205,2021.06.16,,2021.06.22.,SPH PLUSZ KFT.,EmL-1020B,Főorsó,max. 8.000 RPM,173413,"""egy ideje észrevesszük, hogy a fúrásnál a furatot konkrétan 10 feletti fúrónál kiveri. A felület rossz a méret pedig akár 3 tizeddel is eltér a fúró névleges méretétől. A szerszámokat Külső bemérő géppel mérjük, be ezért a befogásból adódó hibákat ott kiküszöböljük. Egy befogóra helyezett indikátor órával, kézi erővel feszítve 3-3 századot tudunk rajta mozdítani. Lehet, hogy csak valami lelazult vagy komolyabb a baj?
06.08.: főorsó kúp radiális ütése 0,01-on belül mérték. kérik a behúzó erő mérését is""","szétszedés, csapágycsere, összerakás",,"Budai A., Schmiedmeiszter P.",8 + 8 óra,,"csapágy:
4db 7014CTRSULP3",,,,,,
TH0100,0,M09132,2021.06.17.,,2021.07.08,MEDIMETAL KFT.,MM-760 (FCL460),Körasztal,GoldenSun-CNCT-101 2 tengelyes,,"visszacsatolás 5, körasztal hajtás hiba
az anakonda szétesett
B tengely rögzítési problémák","szétszedés , tisztítás, szimering és ógyűrűk  cseréje, csapágyazás újazsírozás
",új anakonda,"Budai A., Schmiedmeiszter P., Ervin",,,"O gyűrűk: 70 x 3
119 x 3
145 x 2.67
97 x 3.1
55 x 5,7 
135 x 2.75
fémházas szimering 20 x 32 x 7 
csapágy:  (SZÉV2021-0185)  B7002-C-T-P4S-UT ",,,,,,
TH0101,0,M10219,2021.06.17.,,2021.06.18,KOKILLA PREC KFT.,MM-800 CNC-20,Főorsó,max . 10.000 RPM,691001J116,"nem engedi el a szerszámot, olajszintet megnézték, rendben van, szerszámot nem tudják kiszedni","szétszedés hibafeltárás összeépítés /kilazult egy hernyócsavar, emiatt felfeküdt/",-,Schmiedmeiszter P.,4 óra,,-,-,-,-,,,
TH0102,0,M21008,2021.06.18.,,2021.07.27.,SOPRONI SZAKKÉPZÉSI CENTRUM,Tomill-160,Teljes szerszámtár,,,"szerszámváltás bizonytalan. Esetlegesen, váltáskor a főorson lévő menesztőköröm hozzáér a szerszámtartó magazinhoz és orsó kikapcsolási hibaüzenettel (00901) a gép leáll.
a motor tengely ferde 0.1 a mért ferdeség a tár folyamatos forgatásánál a forgatómotor ugrál.","Tár test egyengetése, törtcsavarok kiszedése, menetek javítása, csavarok pótlása szétszedés tisztítás összeépítés járatás",-,"Budai A.
Schmiedmeiszter P.",4 óra ,-,-,"forgójelaó:
HH 
ERN 1020 / 1000
ID 534 909-06",-,-,,,
TH0103,0,M11087,2021.05.18.,,2021.06.30.,EFT ÉS TÁRSAI SZERSZÁMÉLEZŐ ÉS GYÁRTÓ KFT.,JCL-75AHD-CNC,Motor,LENZE MCA 13I34-RS0B0-B19N-ST5F10N-R0SU [ID: 15340028],1534002810000172415187,"Motor zárlatos, beázott","Motor bontása, összeépítés, járatás, egyensúlyozás",Jeladó csere,"Budai A.
Rákosréti J.",6 óra,-,"O 104 x 3,5 NBR70","Jeladó:
1 db Tamawaga TTL 1024
1 db 8 pólusú 90° csatlakozó
1db 8PRFC csatlakozó","Germalex Kft., Villtek Kft.",,,,
TH0104,0,M20150,2021.06.25.,,?,VÁMOSGÉP KFT.,"NCT-HMR-80 (WFQ-80 NCA)
",Főmotor,KUKA Nn/Nmax 3000/4200,69-225-463,motor csapágyazás,"bontás, tisztítás csapágy és tömtések cseréje főorsó járatás
motor járatás és egyensúlyozás",,,,,csapágyak : koyo 6208 2RS koyo 6206 2RS (plusz and roll) ✓,,,,,,
TH0105,0,M14097,2021.06.28.,,2021.07.09,DUNA PRECIZIÓS KFT.,MM-800S,"Főorsó 
Főmotor","CELLS 10.000 RPM 
TTL","691303J019 
-","ügyfél kéri a javítás lehető legrövidebb időn belüli elvégzését, kéri ÁA küldését főorsó és főmotor teljes körű javításáról, mellékelve a szükséges alkatrészek rendelkezésre állásának várható időpontját a termelés tervezése érdekében, ügyfél kérésére a javított főorsó rezgésdiagnosztikai mérése és kiegyensúlyozása az összeszerelés napján kerüljön elvégzésre - A2021_01407 főorsó és főmotor felújításának árajánlata, megrendelve 03.22. ""Kérem, hogy a javítást ütemezetten 2021.06.26. és 2021.07.11. között szíveskedjenek elvégezni. A számlát kérem, hogy EUR pénznemben állítsák ki."" 
Kanczler Gergő mail 03.12.: valószínű főorsó csapágycsere lesz. Kérték, hogy tartósabb csapágy kerüljön bele, gyorsan egyeztettünk Izeli Józsival és a 60BNR10STSULP3 típust javasolta. Ha oda kerül a sor ezt légy szíves tartsátok észben és ez a fajta csapágy menjen a gépeikbe.",Főorsó bontás tisztítás csapágyazás Főmotor bontás tisztítás csapágyazás átütésvizsgálat,,Budai A.,16 óra,,"Főorsó csapágy: 4db 60BNR10STSUELP3 
Főmotor csapágy 1db 6207-2Z/C3 és 1db 6308-2Z",,,,,,
TH0106,0,M10291,2021.07.02.,,2021.07.12,PANNON-SPIRÁL KFT.,VMC-1600F,"Főorsó 
Főmotor","ROYAL DIN#40 10.000 RPM 
AiS 132","137375 
-",Főorsó és főmotor felújítás,"főmotor: tisztítás, bontás csapágyatás átütésvizsgálat egyensúlyozás
főorsó tisztítás bontás csapágyazás járatás",,Budai A,16 óra,,"szíj: 10-10004185-00 (1050 5MGT 50)
főorsó csapágy: 4db HS7014-C-T-P4S-UL
főmotor csapágy: 2db 7209CTRDULP3 és 1db 6207 2Z CNM
tányérrugók: 39.8 x 20,3 x 2.5

",,,a csipesz nem nyitott ki eléggi Táti 1 mm-es távtartót tett oda így most jó.,,,
TH0107,0,"M08130
M19095",2021.07.08.,,2021.07.13,MAGYARMET KFT.,EML-510,Főmotor,Smax 8.000,,"a motor teljes felújítása
""valószínűleg szíjszakadás, főorsó nem forog""","átütés, TISZTÍTÁS ... csapágyazás, festés","egyensúlyozás , járatás","Schmiedmeiszter P.
Budai A.
Rákosréti J.",16 óra,,"csapágy:
6306 2Z / 1db 
6209-2Z C3 / 1db 
Royal O120 kis tubusos főorsó 5GT szíjtárcsa pár
695 5GT 30 szíj",,plusz and roll,a tisztítás Taksonyban magasnyomású tisztítóberendezéssal történt,,,
TH0108,0,M10217,2021.07.13.,,2021.07.15,SZKALICZKI ÉS TÁRSAI KFT.,MM-760,Főorsó,CTS max. 8.000 RPM,,főorsó felújítása,"bontás, tisztítás csapágyazás O gyűrűk cseréje járatás, tányérrugók cseréje",,"Schmiedmeiszter P.
Budai A.",8 óra,,"csapágyak: 3db 7012 CTRSULP3
O gyűrűk: 2db 23x2
1db 30x2
1db 6x1
tányérrugók: 34 x 16.3 x 2",,,,,,
TH0109,0,M20182,2021.07.15.,,2021.07.19.,AMAZONE TECHNOLOGY KFT.,CT-60,Revfej,SAUTER 0.5.480.3,,"nem ülteti le a revolver fejet, valamint nem forgatja azt. Rev. fej ültetési hibát (00010100 hiba kód) és szervo motor védelemi hibát (00012800 hiba kód)",bontás tisztítás rugók és hengeres illesztőszegek cseréje,,"Schmiedmeiszter P.
Budai A.",,,"nyomórugó: 3db 1.5 x 10 x 45
illesztő szeg 3db  10 x 1.6mm",,Recom  Czigányik Kft.,,,,
TH0110,1,-,2021.07.26.,,,NCT Taksony,,Motororsó,AMS-180 - A2-8 / I. /,,új motororsó összeépítése,"összeépítés, mérési jegyzőkönyv készítése",,"Schmiedmeiszter P.
Budai A.",,,"Vizezés / MTG 3290 menetes réz dugó 1/2"" (MTG_3290-361002),21-32903610-02 10db",4 m 10 mm2 zöld-sárga,,,,,
TH0111,1,-,2021.07.26.,,,NCT Taksony,,Motororsó,AMS-180 - A2-8 / II. /,,új motororsó összeépítése,"összeépítés, mérési jegyzőkönyv készítése",,"Schmiedmeiszter P.
Budai A.",,,,4 m 10 mm2 zöld-sárga,,,,,
TH0112,1,-,2021.07.26.,,,NCT Taksony,,Motororsó,AMS-180 - A2-8 / III. /,,új motororsó összeépítése,csapágyhiány SZÉV2022-048 és SZÉV2022-049,,,,,,,,csapágyakra vár,,,
TH0113,1,-,2021.07.26.,,,NCT Taksony,,Motororsó,AMS-112 / IV. /,,új motororsó összeépítése,"összeépítés, mérési jegyzőkönyv készítése",,"Schmiedmeiszter P.
Budai A.",,,Távtartó lemez,,,,,,
TH0114,1,-,2021.07.26.,,,NCT Taksony,,Motororsó,AMS-112 / V. /,,új motororsó összeépítése,"összeépítés, mérési jegyzőkönyv készítése",,"Schmiedmeiszter P.
Budai A.",,,,,,,,,
TH0115,2,M17132,2021.07.29.,,,KOZMA MŰSZAKI KFT.,"KAFO SV-1000
 (pályázatos név:EmR-1020D 4AX)",Főmotor,AiS 100,,"S hajtás túláram hiba - Kuti Józsi szerint az AiS100 zárlatos, a Deublin 1109-020-118 lehet az oka",bontás tisztítás szárítás ,átütésvizsgálat,"Schmiedmeiszter P.
Budai A.",,,,,,,,,
TH0116,0,M09132,2021.08.02.,,2021.08.06,MEDIMETAL KFT.,MM-760 (FCL460),Körasztal,GOLDEN SUN-CNCT-101 2 tengelyes,,jelentkezett ugyanaz a hibajelenség amivel legutóbb javították. „Körasztal hajtás hiba”,"forgató rész bontás, tisztítás, csapágy illesztés, ujrazsírozás, tömítés, összeépítés",motor erősáramú- és jeladó  90 fokos csatlakozójánák  cseréje,Budai A. Ginter E.,4 +1 óra,,,"2db intercontect 90 fokos csatlakozó (8 pólusú) 
(22-803014041-0 INTERCONTEC csatlakozó / 12 PRMCW 90° / A EW C 052 MR04000014000) ????",,bontás során láthatóvá vált a motor erősáramú- és jeladó csatlakozójának letörése,,,
TH0117,0,M08086,2021.08.09.,,2021.08.18,JAVEL-INN KFT.,S-280,Revfej,"SAUTER 0.5.480.510 hajtott szerszám nélküli, 8 szerszámhelyes, VDI20-as",,kódadó cseréjét követően is revolverfej forgatási hiba van,"Hohner R3321R0.R05/24 kódadó kihajtásának mechanikus vizsgálata: kotyogás, lazulás, kopás nem észlelhető, kézzel körbe tekerve sem jelentkezik hiba","revolverfej bekötése a járatóra, üzemi próba során hiba nem jött elő, valószínűleg a jeladó felillesztésénél lehetett probléma a fogaskerék csatlakozásnál","Schmiedmeiszter P.
Szegedi I.",2 óra + 6 órát,,,,,,,,
TH0118,0,M16017,2021.08.12.,,2021.08.27,PROFIMILL FÉMMEGMUNKÁLÓ KFT.,EmL-610B,Főorsó,,,"főorsó nagyon hangos, egy vállakozó csapágyazta kb. egy évvel ezelőtt",bontás tisztítás csapágyak cseréje összeépítés járatás,,"Schmiedmeiszter P.
Budai A.",8 óra,,2pár 7012 CTRDULP3, ,,,,,
TH0119,0,M20072,2021.08.17.,,2021.09.20.,ESZTERGOMI SZERSZÁMGÉPGYÁR KFT.,MZP1,Főmotor,HPB VM132-?? főmotor ,,leégett,bontás tisztítás,,Schmiedmeiszter P.,6 óra,,,,,"A motor bontása során láthatóvávált, hogy a csapágy megakadt, a forgórész az  állórészbe belemart és eldeformálta azt. A tengelybe a csapágy szintén belemart kb 4 tizedet. A hibák összeségét tekintve a motor javítása aránytalan többletköltség nélkül nem javítható, selejtezésre javasolt.",,,
TH0120,0,M18052,2021.08.19.,,2021.09.02,TRIMBLE HUNGARY KFT.,TCS-1500,Főmotor,VM132S 17.37KW,18050742D,"főorsójának hangja nem a megszokott, megmunkálás közben hangosan zúg,kérem átvizsgálását!
",bontás tisztítás csapágyazás,"Egyensúlyozás, járatás",Budai A. Rákosréti J.,6 óra + 2 óra,,"1db SKF 6307 2Z C3
1db SKF 6309 2Z C3",,,,,,
TH0121,0,M09132,2021.08.20.,,2021.09.15,MEDIMETAL KFT.,MM-760 (FCL460),Körasztal,GOLDEN SUN-CNCT-101 2 tengelyes,,"folytatás: folytatás: körasztal Servo 6 hiba
a billentés szorúl akad",szétszedés hibafeltárás járatás csapágycsere,,"Budai A.
Schmiedmeiszter P.
Tóth V.",2x5 óra + 2.5 óra,,1db NSK 7002 CTR SULP3,,,bontás közben a 7002-es csapágyban a kosár el volt törve,,,
TH0122,0,M21057,2021.08.26.,,2021.11.10,KACZOR GÁBOR EV,MM-760  ,Főorsó,CELLS 8.000 RPM,690707A081,felújítás,"Bontás, tisztítás, csapágyak cseréje,  tányérrugók cseréje, kúpköszörülés",,"Budai A.
Schmiedmeiszter P.
Tóth V.",8 + 8 óra,,"4 db 7012 csapágy, 56 db tányérrugó",,,"A távtartó gyűrűből le kellett esztergálni, mert a gyári csapágy  4 századdal kisebb",,,
TH0123,0,M16017,2021.08.27.,,2021.09.07,PROFIMILL FÉMMEGMUNKÁLÓ KFT.,EmL-610B,Főorsó,,,"főorsó nagyon hangos, egy vállakozó csapágyazta kb. egy évvel ezelőtt",bontás húzóerőmérés összeépítés járatás,,"Schmiedmeiszter P.
Budai A.",2 + 2 óra,,,,,Húzóerő: 8.6,,,
TH0124,0,M18155,2021.09.01.,,2021.09.17,MÁTÉ-MARTENZIT KFT.,EmL-1020B 5TT-K,Körasztal,GSA CNCT-200R körasztal,,B tengely fékoldásakor álló helyzetben sípoló hang érzékelhető a szervómotor irányából B tengely forgatásakor sípoló és morgó hang a szervómotor irányából.,"Bontás előtti vizsgálat: a billentés kb.70 és 110° között szorul, fék nélkül is szorul
Bontás, tisztítás, billentőtengelynél támcsapágy csere járatás, motor csere (leégett)",jeladó bekötése,"Schmiedmeiszter P.
Budai A.
Tóth V.",2x10 + 1óra ,,2db Koyo 81103TVPB támcsapágy /műanyagházas/,1db A6-os kúpos motor EQN jeladóval / A6-54-30-EH/M-Z2,,,,,
TH0125,0,M15093,2021.09.02.,,2021.09.06,VAMAV KFT.,HRB 4000 Sínfúrógép,Főmotor,VM132X 32.61 kW,151030003G,"mai nap a gépkezelő rendellenes hangot / hangokat vélt jelezni az NCT HRB-4000 típusú berendezésünk főhajtásából.
Érzékszervi diagnosztikával az alábbiakat tapasztaltam:
1.       A főmotor hátsó csapágya vagy a motorhűtő hűtő ventillátor csapágya ciripelő hangot ad.
2.       A főmotor után lévő hajtómű magas fordulatra felpörögve morgó hang észlelhető amelyhez közepesen nagy vibrálás is társul.
3.       A csapágyak síkjában felületi melegedés még nem tapasztalható sem a motoron sem a hajtóművön","Bontás, tisztítás, csapágycsere",jeladó csere ventillátor csere,"Schmiedmeiszter P., Budai A.",2 x 6 óra ,,"1db SNR 6309 EE
1db SNR 6312 ZZ C3 ","1db 21-00001048-00 Jeladó / Tamagawa TS5208N510/TTL/1024P/U/6P/LDOIH-48
1 db 10-28206-00 vent 1sv HPB VM132
",,,,,
TH0126,2,M13054,2021.09.02.,,,HÁZAK-ÁSZA KFT. ,MM-760,Főorsó,CELLS max. 8.000 RPM,691303A102,kapott csere főorsót,bontás tisztítás kúpköszörülés csapágy csere tányérrugók cseréje járatva,,"Schmiedmeiszter P.
Budai A.",,,"7012ctrdiup4 3db
tányérrugó 34x16.3x2 {S4312} 56db",,,,,,
