SZÉV igény szám,Státusz,Felelős,Igény dátuma,"KÓDOK: 
ÁA (csak árajánlat kérés)
R (rendelés)
PÜ (utalásra vár)
GY (gyártás alatt)
U (úton van)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,IMP megjegyzés,GYE megjegyzés,SZÉV megjegyzés
SZÉV2025-328,TRUE,GYE,10.02.,R,1,"2025.10.13.
2025.10.16.","2025/000001361
BET2025/03392",M18178,MAGYARMET,MXS-650DD,,"AiS100  CC2-10-4029 CSAPÁGKÉSZLET
DEUBLIN 1109-020-188/1114-020-188-érkezett",,1-1 db,ZSP,,,
SZÉV2025-329,TRUE,GYE,10.03.,R,,2025.10.13.,2025/000001335,,Szerviz raktár,,,"Csapágy / 6309 2Z TN9/C3GJN SKF, 10-00007733-00
Csapágy / 6307 ZZC3, 10-00005423-00",Csatolt email,"2 db
2 db",AL,,,
SZÉV2025-330,TRUE,IMP,10.03.,PÜ,,"2026.04.27,",BET2026/01469,,Szerviz raktár,,Westelettric S.R.L.,"Géplámpa Westelettric, 230V, 18W, IP67",Csatolt email,3 db/2 tipus+ 1 felfogató érkezett,AL,1-1 db megrendelve 10.15. Utalásra vár megsürgetve 10.28.,,
SZÉV2025-331,TRUE,ERA,10.03.,R,,2025.11.05.,2025/000001476,,Szerviz raktár,,,"Kábel / Olajálló kábel 7 x 0,5 YSLY-JZ, 20-10001367-00/0,75-t kaptunk a 0,5-et nem használjuk, 
Kábel / RJI kábel AWG 22/7 flexi (09456000102), 20-00004337-00
Ajtókapcsoló / Omron D4SL-NK1 ajtóretesz nyelv egyenes, 20-00004997-00",Csatolt email,"20 m
20 m
5 db",AL,,,
SZÉV2025-332,FALSE,LOG,10.03.,R,,,,,Szerviz raktár,,,"SAFT-LS14250-COT; Li-elem 3.6V MOLEX csatlakozóval szerelve, 20-00000631-10",Csatolt email,20 db,AL,,,
SZÉV2025-333,TRUE,ERA,10.03.,R,,2025.11.05.,2025/000001477,,Szerviz raktár,,,"Manford gépek / Világítótest / LED lámpa (hosszúkás-szögletes)  GLE-L8-24R, 10-00007001-00",Csatolt email,5 db,AL,,,
SZÉV2025-334,TRUE,GYE,10.03.,R,,,,,Szerviz raktár,,,"Csapágy / SKF S7208 CDGA/HCP4A precíziós golyóscsapágy,10-10012238-00",Csatolt email,10 db,,,,
SZÉV2025-335,TRUE,GYE,10.03.,R,,,,M14094,"FRANK HUNGÁRIA
Szerviz raktár",EmR-1020,,levegő előkészítő egység,Fotó,2 db,,,,
SZÉV2025-336,FALSE,EGY,10.08.,R,,,,,DOROTI,,,I HDW,,1 db,ZSP,,,
SZÉV2025-337,FALSE,ERA,10.10.,R,,,,,NCT AKADÉMIA,Microcut Teach In,,lámpa 810 hossz 70-es átmérő,Fotó,1 db ,HA,,,
SZÉV2025-338,TRUE,IMP,10.10.,PÜ,,2025.12.17.,BET2025/04233,M14066,BIOTECH,DK-7732F,BAOMA,alkatrész lista mailben,mail,,ZSP,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=310097491,,
SZÉV2025-339,TRUE,IMP,10.14.,ÁA,,,,M14017,AI LAB,BNC-446,Microcut/Buffalo,"1. Ballscrew of X axis
2. Set of bearings for X axis balscrew
3. Tooth wheel of the X axis ballscrew
4. Tooth wheel of the X axis servomotor
5. Rubber seal for the X-axis belt drive cover",mail,,PI,ÁA bekérve 10.15.,,"11.12: ÜF megfrissítve
ÜF egyenlőre nem kéri"
SZÉV2025-340,TRUE,GYE,10.14.,R,,2025.10.17.,2025/000001393,M14218/M19095,Magyarmet,VD-510,,HCS 7008-C-T-P4-S-UL,mail,4db,PI,,,
SZÉV2025-341,TRUE,GYE,10.14.,R,,,,M23124,Kokilla,SV-1000,,"Csapágy/csapágykosár
D=136mm d=130mm
Görgő D=3mm (60db)
Kosár h=18mm",mail+fotó,1db,PI,,,
SZÉV2025-342,TRUE,ERA,10.15.,R,,2026.02.11.,2026/000000154,,Szerviz raktár,,Balluff Elektronika Kft,"Kapcsoló / Balluff BES 516-3007-G-E4-C-PU-05,20-00004851-00
Kapcsoló / Balluff BNS 819-FD-60-101, 20-00002685-00",Csatolt email,"3 db
3 db",AL,,,
SZÉV2025-343,TRUE,IMP,10.15.,U,,2026.05.07.,BET2026/01729,M16164,Metarad,CV-7A,KAFO,Y csúszóburkolat gumitörlő szett,mail,,,TNT AWB nyomkövető,,
SZÉV2025-344,TRUE,IMP,10.15.,U,,2026.06.19.,BET2026/02272,    M23166,MSK Hungary Gépgyártó Bt.+Szerviz Raktár,KAFO-NCT RV-3122 5 AXIS,KAFO,"Tartalék / KAFO Ködkenő tápegység szűrővel 5301200040 / RV-3122 és RV-4122 gépekhez,10-10082982-00---ebből az egységből vette ki Fejes Attila a képen látható alkatrészt a javításhoz, és ezt kellene pótolni + szerviz raktárra is kellene belőle tartaléknak.",Csatolt email/ fotó,2 db,AL,TNT AWB nyomkövető,,
SZÉV2025-345,TRUE,GYE,10.15.,R,,"2025.10.29.
2025.11.04.","BET2025/03477
BET2025/03568",M14218/M19095,Magyarmet,VD-510,,"NAST20ZZ
RNA 4902
KR 22 PP A",mail,"1 db/megérkeztt
2db/megérkezett
2db/megérkezett",PI,,,
SZÉV2025-346,FALSE,LOG,10.16.,R,,2025.10.17.,2025/000001392,M13264,K-kart,TB-25YABMs,,"MW WDR-240-24
MW TDR-240-24",mail,"2 db/megkaptuk
1 db",PI,,,
SZÉV2025-347,TRUE,GYE,10.16.,R,,2025.10.17.,Rezsi anyag,,Smici,,,"Menetfúró: M3,M4,M5,M6
Csigafúró: 2,5; 3,2; 3,5; 4,2; 5 ",mail,1-1 dbTööbb darab mindenből,PI,,,
SZÉV2025-348,TRUE,IMP,10.22.,U,,2026.03.27.,BET2026/01336,M16142,MST,HT-76,Microcut Buffalo,CEN03 szánkenő tápegység,mail,5,PI,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=367140949,,
SZÉV2025-349,TRUE,GYE,10.22.,R,,2026.01.30.,2026/000000118,M12268,Doroti Pack Kft.,EmB-1304B,GÖRDÜLŐ-Simmering Kft,"Tányérrugó / S4326 40x20,4x2,5 mm, 10-00016177-00",Csatolt email,56 db,SP/AL,,,
SZÉV2025-350,TRUE,GYE,10.22.,R,,2026.03.02.,2026/000000256,,Szerviz raktár,,Power Belt Hajtástechnikai Kft.,"Szíj / 5M/575/20 mm,10-10004795-00",Csatolt email,3,AL,,,
SZÉV2025-351,FALSE,GYE,10.22.,R,,,,,Szerviz raktár,,Pannon Csapágy Kft.,"Csapágy / HC7008C.T.P4S.UL FAG csapágy, 10-00000365-00",Csatolt email,8 db,AL,,,
SZÉV2025-352,TRUE,LOG,10.22.,R,,2025.12.01.,BET2025/03982,,Szerviz raktár,,NCT Ipari Elektronikai Zrt.,"AiB28-54-25-EH/E NCT szinkron szervomotor rögzítőfékkel:, 40-00010282-50",Csatolt email,1 db,AL,,,
SZÉV2025-353,TRUE,GYE,10.22.,R,,2026.03.09.,BET2026/00722,,Szerviz raktár,,Moltech Kft.,"Szíj / Laposszíj GG 04 - 89 mm x 2860 mm x 1,7 mm (TNL-100 Munkadarab elszállító konvejorra) 10-10005439-00",Csatolt email,2 db,AL,,,
SZÉV2025-354,TRUE,IMP,10.22.,U,,2025.12.17.,2025/000001684,,Szerviz raktár,,"Ton Fou Enterprise Co., LTD","TON-FOU tokmánypofa / HJ-08/3 kemény tokmánypofa készlet (1.5x60°)(3db/szett), 10-KER01243-00",Csatolt email,2 klt,AL,Nyomkövető: https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=302470708,,
SZÉV2025-355,FALSE,ERA,10.22.,R,,"2026.01.27.
2026.02.11.","2026/000000080
2026/000000155",,Szerviz raktár,,"Omron Electronics Kft.
Sonepar Magyarország Kft.","Kapcsoló / Omron E2A-M12LS04-WP-B1 5M (12mm-es, PNP/NO-s induktív hosszú érzékelő, 5m), 20-00002920-00
Relé / Omron K8DT-PM2CN feszültségrelé (fázisfigyelő), 20-00006599-00
Fi relé / Kismegszakítóval 1P+N C 10A A 2mod IP20 A9D37610, 20-00021501-00
Vezeték / Fekete 1.5-ös vezeték (H07V-K 1.5 C-BK), 20-00001373-00",Csatolt email,"3 db/Megkaptam
3 db
2 db
100 m/Megkaptam",AL,,,
SZÉV2025-356,TRUE,IMP,10.27.,ÁA,,"nem rendelték meg, igény lezárva",,M20117,Mobilinter Kft.,RY-42,RayFeng,Z csúszó burkolat,mail,1 db,PI,"ÁA ok fuv.díjjal, ÜF sürgetve
ECO olcsó légifuvar 103e FT",,"kedvezményes új ajánlat megküldve, ÜF válaszra vár"
SZÉV2025-357,TRUE,LOG,10.27.,R,,2026.06.29.,"2026/000000833
2026/000000835",,Szerviz raktár,,NCT Ipari Elektronikai Zrt.,"O16 / 16x1-vonalas tranzisztoros kimenetű kimeneti modul:,40-00010368-00",Csatolt email,3 db,AL,,,
SZÉV2025-358,TRUE,GYE,10.28.,R,,2026.04.22.,BET2026/01393,,Szerviz raktár,,,"Szűrő / Szűrőbetét FILTREC DMD0030E20B, 10-10002926-00",Csatolt email,10 db,AL,,,
SZÉV2025-359,FALSE,ERA,10.29.,R,,,,,Szerviz raktár,,Sonepar Magyarország,"Kismegszakító / Schneider-iC60N-3P 32A-6kA (3C-32)A9F04332 A9, 20-00002720-00",Csatolt email,2 db,AL,,,
SZÉV2025-360,FALSE,EGY,10.29.,R,,,,,Fejes Atti/Szerviz raktár,,NCT Ipari Elektronikai Zrt.,"PS100 tápegység NCT 100 / 104, 40-10003071-00
",Csatolt email,1-1 db,AL,,,
SZÉV2025-361,TRUE,IMP,10.29.,ÁA,,,,M17226,First-Tech,KFO-650DD (VU-620),Manford,Forgácstároló kocsi szalagos forgácskihordóhoz 10-00009245-00,Csatolt email,1 db,HA,a bucket a kocsi,,Nem történt megrendelés
SZÉV2025-362,TRUE,GYE,10.30.,R,,2025.11.14.,2025/000001529,M12268,Doroti Pack,EmB-1304B,,FAG HS 7014-C-T-P4S-UL,mail,5 db,PI,,,
SZÉV2025-363,TRUE,LOG,10.30.,R,,2025.11.05.,2025/000001467,,Fejes Attila/Szerviz raktár,,Energom Electronic kft,"WDR-240-24,20-00005297-00",Csatolt email,1+2 db,AL,,,
SZÉV2025-364,TRUE,ERA,10.31.,R,,2025.11.03.,2025/000001459,,CNC Automatizari SRL,,TE Connectivity Industrial GmbH (régen: Intercontec Produkt GmbH,"Csatlakozó / 12 PRFC / 12 pólusú kuplungos jeladó anya egyenes lengő AKUA020FS13100200000,20-00000924-00",Csatolt email,1 db,AL,,,
SZÉV2025-365,FALSE,LOG,10.31.,R,,,,,Szerviz raktár,,NCT Ipari Elektronikai Zrt.,"Ai70-54-20-EH/M-Z1 NCT szinkron szervomotor, 40-00010279-10",Csatolt email,1 db,AL,,,
SZÉV2025-366,TRUE,IMP,11.03.,ÁA,,11.12: Az ÜF nem adta meg a kért gépadatokat.,,,GLOBAL TRADE GMBH,,DMG Mori,"could you please offer us: ball screw set (DMF 180-7*X-ACHSE) Please write approx. delivery cost to Lübeck, Germany and shipping weight.",Csatolt email,1db,ZSP,,,
SZÉV2025-367,TRUE,IMP,11.03.,ÁA,,nem történt megrendelés,,,STRIGON,,HPB,"VM132X Forgórész, első pajzs
S/N 14091841D",Csatolt email,1-1db,ZSP,megsürgetve,,ÜF nem kéri
SZÉV2025-368,TRUE,GYE,11.04.,R,,2025.11.05.,2025/000001475,,Szerviz raktár,,,"Pneumatika / Gyorscsatlakozó T elosztó 6-6 (3104 06 00), 10-00001957-00
Ezt kaptuk.10-00016731-00,Pneumatika / Gyorscsatlakozó T csatlakozó 3x6 mm-es csőhöz (SMC - KQ2T06-00A)",Csatolt email,20 db/10 db érkezett,AL,,,
SZÉV2025-369,TRUE,ERA,11.04.,R,,2026.01.27.,2026/000000077,,Szerviz raktár,,Sonepar Magyarország Kft,"Nyomógomb / Schneider XB5 AT 842 (vészstop), 20-00001876-00",Csatolt email,3 db,AL,,,
SZÉV2025-370,TRUE,IMP,11.04.,U,,2026.04.08.,BET2026/01371,,Entra-SYS,,Manford,UNITTA 810-5GT 30 mm szíj ,Csatolt email,4 db/10 db érkezett,ZSP,"Inv.B103-26031101
020- 36165220 / MTP2603224
érk.NCT. Fogarassi útra: 04.08-10.",,Utalásiban nincs benne
SZÉV2025-371,TRUE,,,R,,2025.12.02.,BET2025/03989,,CATL,,Easson,EASSON mérőléc,,,,,,
SZÉV2025-372,TRUE,GYE,11.05.,R,1,2026.01.23.,BET2026/00154,M19023,NIVELCO,TCS-2500,TONGTAI,"Főorsó csapágykészlet:
1 db NN3026K, 1 db NN3024K, 1 pár 130BTR10STYNDBLP4A",mail,1 db,ZSP,,,
SZÉV2025-373,TRUE,GYE,11.10.,R,,2025.11.11.,2025/000001505,,Szerviz raktár,,,"Csapágy / 30TAC62CSUHPN7C ferdehatásvonalú golyóscsapágy NSK,  10-10001875-00",Csatolt email,16 db,AL,,,
SZÉV2025-374,TRUE,ERA,11.10.,R,,2026.01.27.,2026/000000076,,Szerviz raktár,,,"Nyomógomb / Schneider XAL D02 (2 lyukú nyomógomb doboz) G12322, 20-00001833-00
Relé / Omron G9SA-321-T075 AC/DC24 (biztonsági vészkör relé), 20-00002999-00",Csatolt email,"2 db
2 db",AL,,,
SZÉV2025-375,TRUE,ERA,11.11.,R,,2026.01.27.,2026/000000075,,Szerviz raktár,,,"Mágneskapcsoló / Schneider LP1-K0901BD mágneskapcsoló (4kW;24VDC),20-00002464-00
Kapcsoló / Omron E2E-C04S12-WC-B1 2m OMS (4mm-es, PNP/NO-s induktív érzékelő),20-00002214-00",Csatolt email,"3 db
5 db",AL,,,
SZÉV2025-376,TRUE,LOG,11.11.,R,,2025.11.11.,2025/000001515,M13283,Dentisystem,EEN-320,,EPU,mail,1 db,PI,,,
SZÉV2025-377,TRUE,LOG,11.11.,R,,2025.11.11.,2025/000001513,M21119,VKSZ,HT-52,,EPU-SIS,mail,1 db,PI,,,
SZÉV2025-378,TRUE,GYE,11.11.,R,,2025.11.13.,,,Szerviz raktár,,,Féktisztító spray BERNER 500ml,Csatolt email,3 karton/30 db érkezett,AL,,,
SZÉV2025-379,TRUE,GYE,11.12.,R,,2025.11.19.,BET2025/03800,M12268,Doroti Pack Kft.,EmB-1304B,,Deublin 902-120-188,mail,1 db,PI,,,
SZÉV2025-380,TRUE,IMP,11.12.,U,,2026.05.13.,BET2026/01729,,Szerviz raktár,,KAFO,"Tartalék / Kafo szögfej alkatrész / 3177061580 Positioning Pin,10-00032854-00
Tartalék / Kafo szögfej alkatrész / 3177061590 Positioning Pin,10-00032855-00",Csatolt email,"5 db
5 db",AL,PI251115-1 utalásra vár,,
SZÉV2025-381,FALSE,EGY,11.17.,R,,,,,Szerviz raktár,, E.gyártás; NCT Ipari Elektronikai Zrt.,"KB2ECAT.2.0 NCT 201 MK15 vertikális tasztatúra controller, 40-00012010-00",Csatolt email,5 db,AL,,,
SZÉV2025-382,FALSE,LOG,11.19.,R,,,,,Szerviz raktár,,Wanapack,Csomagoló pukis fólia,Csatolt email,1 tekercs,AL,,,
SZÉV2025-383,TRUE,GYE,11.19.,R,,"2025.11.21.
2025.12.05.","2025/000001565
BET2025/04065",M15218,CSABA METÁL ZRT. ,,,"1 pár FAG B7014-E-T-P4S-UL
1 pár FAG B7016-E-T-P4S-UL
B7014-E-T-P4S-UL",mail,"2 pár
2 db",TV,,,
SZÉV2025-384,TRUE,ERA,11.20.,R,,2026.01.26.,2026/000000074,,Szerviz raktár,,,"Csatlakozó / HAN 16B-AGG-K Harting aljzat müa.tetővel (09300160302),20-00004558-00",Csatolt email,2 db,AL,,,
SZÉV2025-385,TRUE,GYE,11.24.,R,,2025.12.10.,2025/000001662,M22165,STX Horseboxes kft,EmL-1020,Spinex,DEUBLIN 902-120-188,mail,1 db,PI,,,
SZÉV2025-386,TRUE,ERA,11.24.,R,,2026.01.26.,2026/000000073,,Szerviz raktár,,,"Csatlakozó / Harting motor anya modul (09 14 006 3101), 20-00001024-00
Csatlakozó / Harting a-d modul tartó keret ( 09 14 016 0313), 20-00001021-00 ",Csatolt email,"3 db
2 db",AL,,,
SZÉV2025-387,TRUE,IMP,11.27.,U,,2026.03.27.,BET2026/01336,"M23178
M23179",Arzenál Fegyvergyár Zrt.,Dual-65,Microcut Buffalo,W tengely energia lánc,mail,2 db,PI,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=367140949,,
SZÉV2025-388,TRUE,ERA,11.27.,R,,2025.12.02.,,M17187,Continental,VD-510,Conrad.hu,Zümmer kiépítési anyagok,mail,1 szett,PI,,,
SZÉV2025-389,TRUE,GYE,12.01.,Áa,,2026.02.04.,2026/000000601,,Kokilla Prec kft,JCL-60AHD,,Biztonsági üveg 390x360x6,,6 szett,ZSP,,,
SZÉV2025-390,TRUE,IMP,12.02.,U,,2026.03.26.,BET2026/01025,M18126,HUONKER HUNGÁRIA kft,JSL-32ABMs,Barload,"Barloader Auto rúdadagolóhoz, előtolórúd
persely:D16-os átmérő, M25xP1,5 
Persely gépkönyvi száma:CL025320160

 ",mail,1db,ZSP,TNT AWB nyomkövető,,
SZÉV2025-391,TRUE,IMP,12.03.,ÁA,,2025.12.09.,nem történt megrendelés,?,DsT KFT.,,BARUFFALDI,BARUFFALDI TBMA200/VDI40/12 szerszám tájoló csapok,mail,3db,PI,1. ár 2. Adrián RKT,,
SZÉV2025-392,FALSE,EGY,11.28.,R,,,,M18030,FÉMTEK 1971 KFT,KAFO-NCT KMC-2622,Microcut Buffalo,IHDW XL-es kábel,,1db,ZSP,,,
SZÉV2025-393,FALSE,IMP,12.01.,U,,,,,SZÉV raktár,,Microcut Buffalo,"BNC1840 belt, pulley  HTL76 LED light",mail,,PI,TNT AWB nyomkövető,,rendben
SZÉV2025-394,FALSE,IMP,12.04.,R,,,,,Szerviz raktár,,KAFO,"Tartalék / KAFO Ködkenő tápegység szűrővel 5301200040 / RV-3122 és RV-4122 gépekhez,10-10082982-00",Csatolt email,2 db,AL,proformára vár REF:PI260109-1,,"igény pontosítva, ajánlatot várunk"
SZÉV2025-395,TRUE,ERA,12.04.,R,,2026.01.27.,2026/000000078,,Szerviz raktár,, Omron Electronics Kft.,"Ajtókapcsoló / Omron D4BL-2CRA (biztonsági ajtóretesz), 20-00001480-00
Relé / Omron H3DK-M1 időzítő (24-240VAC/DC), 20-00001057-00",Csatolt email,"3 db/2 db érkezett
3 db",AL,,,
SZÉV2025-396,TRUE,GYE,12.04.,R,,2026.03.23.,2026/000000363,,"AS-MOTA&
szerviz raktár",TMV-1050A,,"10-00006406-00
5M/1000/30",,5 db,ZSP,,,
SZÉV2025-397,TRUE,ERA,12.08.,R,,2026.01.26.,2026/000000072,,Szerviz raktár,,Sonepar Magyarország Kft.,"Motorvédő / Schneider GV2-ME04AP motorvédő (0.4-0.63A), 20-00002504-10",Csatolt email,3 db,AL,,,
SZÉV2025-398,TRUE,IMP,12.11.,ÁA,,,,"M23177
M23178
M23179",Arzenál Fegyvergyár Zrt.,Dual-65,Microcut,Spare part list és ajánlat rá,mail,1 db,PI,import pontosításra vár,,feldolgozás alatt
SZÉV2025-399,TRUE,IMP,12.11.,ÁA,,,,M23180,Arzenál Fegyvergyár Zrt.,SL-TURN-92Y,Microcut,Spare part list és ajánlat rá,mail,1 db,PI,import pontosításra vár,,feldolgozás alatt
SZÉV2025-400,FALSE,EGY,12.11.,R,,,,M24005,SCHUNK,Nordfels-3,,DAC-60/120 LT,mail,1 db,PI,,,
SZÉV2025-401,TRUE,GYE,12.12.,ÁA,,2026.02.06.,BET2026/00375,M07011,EmL-610,Duna Prec.,,7012 nagy fordulatú csapágy 12.000 RPM Royal orsóhoz,mail,2 pár,PI,,,
SZÉV2025-402,TRUE,GYE,12.12.,R,,2026.03.02.,Még nincs,M15218,CSABA METÁL ZRT. ,KMC-3127,,Fogaskerék bemérés/bevizsgálás,mail,"1 alk, 5 db",PI,,,
SZÉV2025-403,TRUE,ERA,12.12.,R,,2026.01.26.,2026/000000070,,Szerviz Raktár,,,"Omron D4BL-K1 egyenes ajtóretesz nyelv, 20-00002014-00
Ajtókapcsoló / Omron D4DS-K1 ajtóretesz nyelv egyenes, 20-00001055-00
Ajtókapcsoló / TEND TZ-93B biztonsági kapcsoló,20-00004978-00
Kábelvédelem / CSP 120x120x90 műanyag doboz (CSP121209), 20-00001541-00",Csatolt email,"3 db/megérkezett
3 db/megérkezett
3 db/megérkezett
3 db",AL,,,
SZÉV2025-404,TRUE,EGY,12.12.,R,,2026.06.25.,"BET2026/02362
BET2026/02361",,Szerviz Raktár,,,"Szalagkábel 26x(7x0.127mm),20-00004383-00
PDC to DxC LVDS szalagkábel (9cm), 30-00000229-00
Dxc to DxC LVDS szalagkábel (6cm),30-00000230-00
PRC to DxC LVDS szalagkábel (12cm), 30-00000307-00
",Csatolt email,"10 db
10 db
10 db
5 db",AL,,,
SZÉV2025-405,TRUE,GYE,12.12.,R,,2026.03.03.,BET2026/00677,,Szerviz Raktár,,,"Csapágy / 6208 ZZ C3, 10-00002552-00
Csapágy / 6207 2Z/C3 SKF csapágy, 10-00620723-00",Csatolt email,"6 db
6 db",AL,,,
SZÉV2025-406,TRUE,GYE,12.15.,R,,2025.12.18.,2025/000001688,,SZÉV,,,"Csapágy 6203ZZ
Csapágy 6205ZZ",,"2 db
2 db",PI,,,
SZÉV2025-407,TRUE,IMP,12.15.,U,,2026.04.08.,BET2026/01371,,SZÉV,,MANFORD,Fogasszíj 8YU/1264/25,mail,5db,ZSP,"Inv.B103-26031101
020- 36165220 / MTP2603224
érk.NCT. Fogarassi útra: 04.08-10.",Megrendelve,Megrendelve
SZÉV2025-408,FALSE,EGY,12.15.,R,,,,M12071,Metarad,VD-510,,ESIS,,,PI,,,
SZÉV2025-409,FALSE,IMP,12.15.,PÜ,,,,,Szerviz Raktár,,"SUZHOU BAOMA NUMERICAL CONTROL EQUIPMENT CO., LTD.","Tartalék / DK7732F/ Áramszedő elektróda szögletes, 10-00003704-00",Csatolt email,20 db,AL,Utalás sürgetve 03.11.,Megrendelve,Megrendelve
SZÉV2025-410,TRUE,IMP,12.16.,PÜ,,2026.07.21.,BET2026/02705,,SZÉV raktár,,East Lion,Piros szűrő betét 10-00025609-00,mail,5 db,PI,"utalásra vár, sürgetve EL-2-22-1",Megrendelve,
SZÉV2025-411,FALSE,EGY,12.17.,R,,,,M23160,Győri SZC,Turn-155,NCT,EPU-SYS,mail,1 db,PI,,,
SZÉV2025-412,FALSE,LOG,12.17.,R,,,,,Szerviz Raktár,,Fémo Kft.,"AiS100 HŐÉRZÉKELŐ (hőmérséklet figyelő), 10-10000365-01",Csatolt email,5 db,AL,,,
SZÉV2025-413,TRUE,ERA,12.17.,R,,2026.01.27.,2026/000000069,,Szerviz Raktár,,Omron Electronics Kft.,"Kapcsoló / Omron E2E S05S12-WC-B1 2m OMS (5mm-es, PNP/NO-s induktív érzékelő), 20-00000018-00",Csatolt email,5 db,AL,,,
SZÉV2025-414,TRUE,IMP,12.18.,R,,2026.05.07.,BET2026/01729,M20017,CSABA-BERÉNYI GÉPGYÁRTÓ KFT.,BMC-2616,KAFO,Képen látható érzékelő,mail,2 db  Ignác módosította 5 db-ra!,PI,PI260312-1 R1 megrendelve 5 db utalásra vár,,
SZÉV2025-415,TRUE,GYE,12.18.,ÁA,,,,M15022,KM CNC kft,EUROturn-12c,,Biztonsági üveg:825 x 595 x 6mm  (2 rétegű: 2x3mm),mail,1db,ZSP,,,Nem történt megrendelés
SZÉV2025-416,FALSE,GYE,12.18.,ÁA,,,,M05081,"ATLANTI-Szerszám Kereskedelmi
és Szolgáltató kft",TNL-130,,Biztonsági üveg:520x400x26mm,mail,1 db,ZSP,,,
SZÉV2025-417,TRUE,IMP,12.18.,ÁA,,,,M15092,TAUGÉP KFT.,SKIQ-20,HPB,HPB VM225S főmotor ventállátor,mail,1 db,PI,ÁA ok,,Nem történt megrendelés
SZÉV2025-418,FALSE,GYE,12.18.,ÁA,,,,,LOSONCZI Kft,,,Biztonsági üveg:925x640x12 mm,mail,1 db,ZSP,,,
SZÉV2025-419,FALSE,,,,,,,,,,,,,,,,,
SZÉV2025-420,FALSE,,,,,,,,,,,,,,,,,
SZÉV2025-421,FALSE,,,,,,,,,,,,,,,,,
SZÉV2025-422,FALSE,,,,,,,,,,,,,,,,,
