Beérkezés dátuma,Kiküldés dátuma,MEGRENDELŐ,Géptípus,Megnevezés,Bejelentett hiba,Elvégzett munka (szervizlapra írandó),Megjegyzés,Telephelyi Munkaidő,"Tervezési
 feladat",Beszerzett alkatrészek,Anyagktg. (nettó beszerzési árak!),"Mérési 
eredmények",Kész - 1
2018.03.27.,2018.04.11.,Csaba-Berényi,EmB-1605,Szerszámcserélő,Szorul,"Szétszerelés, hibakeresés;
Az excenter karban található csap teteje feljebb mozdult és összevert a csigakerékkel, ami ettől megszorult;
A csigatengely kúpcsapágyai rágtak, a csapágyak párban cserélve lettek;
Összeszerelés, Tesztjáratás","Hajtómű, motor, szíj behozva
Csapágy kiváltója:
SKF 30205 J2/Q S; szimmering: SKF 20x52x7 HMSA10 RG",15 óra ,-,"FOS TC 20x52x8 1 1 db szimmering 501Ft, csapágy: NSK HR 30205J 2 db 3196 Ft/db",6 893Ft,-,1
2018.03.19.,2018.05.09.,NCT Akadémia,EMCO VMC-300,szerszámtár mozgató,"Főorsó tetején 
lévő tármozgató összehegedt a 
szerszámmegfogó, billentőkerettel","Szerszámtár mozgató tárcsa fogaskerékkel. Szerszámmegfogó keret csapjainak cseréje
SZÜKSÉGES;
05.09. Főorsót ki kellett venni, át kell csapágyazni","Búr Gábornak 
ment az email, 
válaszra várunk;
2018.04.20. Jött ajánlat, viszont egy alkatrészt nem lehet pótolni;
05.03. megérkeztek az alkatrészek",4 óra,-,"Szíj:
- 2 db Optibelt PJ 711 Z8
Cserélő mechanizmus:
- 1 pár bronzpersely
- 1 pár csap
- 1 db fogaskerekes tárcsa
- 1 db csap a fogaskerekes tárcsába","Utalásonként 12+14 €, azaz 50 % előre + Áfa+
banki költség: 
-359,44 € előre, majd 15 napon belül még 359,44 €!!",-,1
2018.03.19.,2018.04.05.,NCT Akadémia,Tomill 220,-,"Nem lehet szerszámot cserélni, ajtó lóg, levegőszelep hátul lóg, magazin hajtás hiba, orientálás rossz","Ajtó javítása, levegőszelep rögzítése, orientálás beállítva, szerszámcsere pozíció beállítva, most már jól vált szerszámot","A szerszámmegfogót összenyomó állítócsavar összenyalódott a munkahengerrel, a csavart cseréltük, a menetet újravágtuk a munkahengerben, a szerszám így már befogható a főorsóba, viszont a behúzóerő gyenge, valószínűleg sérültek a tányérrugók",10 óra,-,-,-,"Behúzóerő: 1,4kN",1
2018.03.19,2018.04.9-11?,Fémo (Csapó),Simtra?,Sauter Revfej (zöld),indexáló tüske nem működik,mechanikus átvizsgálás,"Induktívot, jeladót beállítota KS, olajfolyás megmaradt, Ügyfél intézi magának",2 óra,-,-,-,-,1
2018.03.12.,2018.04.04.,Inlong Kft,Kondia B-640,főorsó (6 000 rpm),Átcsapágyazás,"Összerakva, behúzóerő, ütés megmérve",-,16 óra,-,"Csapágyak:
- 1 pár 7012CTRDULP3
- 1 pár 7014CTRDULP3
O-gyűrűk:
- 1 db 115x2,5
- 1 db 28x2,5
- 2 db 38x2,5",,"Ütés: ~0.01mm
Behúzó erő: 7,4 kN",1
2018.03.01.,2018.03.27.,Duna Precíziós Kft,-,Nikken CNC-230 osztómű,"Pontatlan 
az osztómű, felújítást kértek","Teljes szétszerelés, 
kitisztítás, csapágyak cseréje, 
csapágyak bezsírzása,
feltöltés olajjal","Ügyfél beszerzett mindent,
az alkatrészeket és
öntvényt síkolta",24 óra,-,- (ügyfél intézte) ,-,"órázva, 
~0,01mm van benne",1
2018.03.01.,2018.05.02.,Max-Go,Strigon MC-1250,főorsó (6 000 rpm),"Teljes felújítás, olaj kimosta
 a csapágyakat","Széthúzás,
csapágycsere,
forgótömítéscsere;
2018.04.18. összerakva, már csak a hidraulika tömlő kell
2018.04.23. Szállítható","A labirintok szereléséhez egyedi szerszámot kell gyártani, 
mert nagyon kényes felszerelni őket;
Hidraulika tömlő is kell hozzá, Ricsiéktől bekérve.",40 óra,Akai Gábor,"Forgótömítések:
- M 120X140X15 1 db
- M 130X150X15 2 db
Csapágyak: 
4 x FAG B7020-C-T-P4S-UL","Forgótömítések:
br. 126.153 Ft
Csapágyak:
nettó 341.901 Ft / 4 db","Behúzóerő: nem tudtuk mérni
Ütés:",1
2018.03.01.,2018.04.06.,Tari-Prod,TNL-120,Auto Strong M-1875 hidraulikus meghúzó,"munkahenger
 átereszt","Teljes szétszerelés, O gyűrűk cseréje, összeszerelés",Nem tudjuk próbázni,8 óra,-,"O-gyűrűk:
- 2 db 170x5,5
- 1 db 96x6
- 2 db 85x3,2",-,-,1
2018.03.01.,2018.05.04.,Inconex,MAHO MH700S,szerszámmegfogó,Széthullott,"Új megfogó karmok bekérése, 
szerszámpozícionáló csapok terveztetése
2018.04.26. összerakva, szállítható","Karmok már megvannak, csapokra várunk - Csapó legyártotta: 04.17
!!!: az utángyártott karmokon az induktívnak kialakított csapok más helyen vannak az eredeti csapokhoz képest, így a karmokon ezeknek a csapoknak a helyét módosítani kell",Smici: 10 óra,Akai Gábor,"Új karmok (2 pár)
Csapok (4 db)","2db bal kar: 1116,5EUR 
2db jobb kar: 799,94EUR
+50EUR csomagolási költség
+200EUR szállítási költség",-,1
2018.03.01.,,Kárászy Kft,-,Sauter Revfej (kék),"Irányváltási hiba
Pozícionálási hiba,
Nem ül le, nem rögzít","Szétszerelés, átvizsgálás 
mechanikusan, összeszerelés, járatás",,16 óra,-,-,-,-,1
2018.03.01.,2018.03.29.,Marton CNC,,NCT motor,,Szíjtárcsát le kellett vágni,,,-,Új szíjtárcsa,,,1
2018.03.28.,,Hajdu Autotechnika,,"ZD750 köszörű
 golyósorsó és hajtómű",,"Szétszedve, golyósorsó anyára előttünk vlk ráírta, hogy nem javítható... 
szétszerelés, bevizsgálás","javíthatatlan a hajtómű, kompletten új kell",,Akai Gábor,,,,1
2018.04.26,,Pi Dental ,,fogászati gép,,,2. emeleten van a gép,,,,,,
2018.05.16,,NCT SZÉV,,szerszámcserélő kar forgató motor,"javítás utáni összeszerelés, próba",összeszerelve,,,,,,,
2018.01.xx.,,Váci Szakképzési Centrum,M18045 oktató eszterga,,korszerűsítés,,Taksony csinálja,,,,,,
2018.01.xx.,,NCT SZÉV,,mérőléc mosó,,,SZÉV bővítés után,,,,,,
2018.01.xx.,,NCT SZÉV,,Lenord-Bauer jeladó vizsgáló készülék,,,"Ennek a rajzai készen vannak?
06.29. még nincsenek készen a rajzok
08.17. szeptemberben lesznek csak rajzok, Akai Gabi fogja csinálni",,Akai Gábor,,,,
