Beérkezés dátuma,Kiküldés dátuma,MEGRENDELŐ,Géptípus,Megnevezés,Bejelentett hiba,Elvégzett munka (szervizlapra írandó),Megjegyzés,Telephelyi Munkaidő,"Tervezési
 feladat",Beszerzett alkatrészek,Anyagktg. (nettó beszerzési árak!),"Mérési 
eredmények",Kész - 1
2019.11.05.,2019.11.12.,CNC Bakony,EPA-320 (TNL100AHD)  (P18181/M16291),HPB VM80S (SN: 18071605C1) 8.000 rpm,Motor menetzárlatos,"Motor megbontása; az állórész belül teljesen olajos-zsíros volt
Motor újratekercseltetése, első pajzs áttervezése/alakítása szimeringesre
Összeéépítés","A tekercs több szála szakadt; 11.06. Villtekhez kiszállítva tekercselésre
11.12. Villtektől visszajött;
Az első pajzs át lett alakítva, szimeringnek fészek lett készítve bele",Smici: 4 óra,Bárdosi Bence,"Csapágyak:
- 1 db SKF 6305 2RS C3
- 1 db SKF 6306 2RS C3
Tömítések:
- 1 db 30x55x7 KTT FKM szimering
- 4 db 72.00x3.00 NBR 70 O-gyűrű",Villtek tekercselés?,-,1
2019.05.03.,2019.11.12.,NCT Taksony,Euroturn-12C,Főorsó és ellenorsó,összeszerelés,,,,-,,,-,1
2019.09.20.,2019.11.26.,NCT Taksony (Gróf és Társa),JCL-75AMs (M19102),AMS112 - 2.,,"Összeszerelés
11.08. összeszerelve, járatás, egyensúlyozás szükséges
11.16. egyensúlyozva, járatva",,,-,"Mágnesgyűrű:
- 1 db HDH 1144140-05 TTR ERM 2400 900
OLVASÓFEJ:
- 1 db HDH 1144140-13 AK ERM 2480 900",,-,
2019.09.20.,2019.11.08.,NCT Taksony (Königin Trade),JCL-75AMs (M19045),AMS112 - 1.,,Összeszerelés,"Öntvény, állórész tekercs összeépítése, nyomáspróba;
Építés folytatása, új típusú forgórész összeépítése a főorsóval;
Szerelt főorsó beszerelése, motor próbaforgatás, paraméterezés (Fejlesztés); egyensúlyozás",Smici: 24 óra,Akai,"Mágnesgyűrű:
- 1 db HDH 1144140-05 TTR ERM 2400 900
Olvasófej:
- 1 db HDH 1144140-13 AK ERM 2480 900",,-,1
2019.09.01.,2019.11.07.,NCT Taksony (Le Belier),WHN-9B (M08100),Siemens 1PH7133-2ND-OLCO (V746 1530 01 001) 10.000 rpm motor,Átcsapágyazás,"A motor megbontott állapotban került be;
tovább bontás, csapágyak beazonosítása;
2019.10.25. motor összerakva új csapágyakkal, eredeti jeladó maradt","Eredeti jeladó: HDH ERN-1381 Id: 385 489-06
11.09. Alhegyi Ildikó szerint a motor nem kell!",,-,"Csapágyak:
- 2 db NTN TS2-6210T2XC4PX8",,-,1
2019.10.17.,2019.11.07.,Grif-Tools,EmL-1020E (M11036),Baumüller DAF100B54A10-5 (21110714) és Royal 8.000 rpm főorsó (145905),"csapágyazás, szíjtárcsa csere","Főorsó: szétbontása, tisztítása, régi csapágyak lefűzése, új csapágyak beépítése
Főmotor: szétbontás, tisztítás, forgórész átcsapágyazása, új jeladó beépítése, összeépítés, motor egyensúlyozása, járatás","Főorsó szíjtárcsa erősen kopott, cseréje szükséges;
Új szíjtárcsa megrendelve importból;
10.31. új szíjtárcsa beérkezett
Motor: Villtekhez kiküldve alapos tisztításra, a motor tocsog az olajtól","Smici: 16 óra
Rákosréti J.: 3 óra",-,"Csapágyak:
- 4 db FAG HS7014-C-T-P4S-UL
- 1 db 6209 ZZ C3
- 1 db 6306 ZZ C3
Tányérrugók:
- 58 db 40x20,40x2,50 tányérrugó (DIN 2093 rugóacél)
Szíjtárcsák:
- 1 db 8YU-40T (d=38) motor szíjtárcsa
- 1 db 8YU-40T (d=65) főorsó szíjtárcsa 
Motor jeladó:
- 1 db HDH ERN 1320 1024 TTL (Id: 385 423-18) ",,-,1
2019.10.29.,2019.10.31.,Metarad,VD-510S-5AX (M15232),Royal 20 000 rpm főorsó (161272),Csapágyazás,"Szétbontás, tisztítás, régi csapágyak lefűzése, új csapágy felfűzése, tányérrugók cseréje, orsó összeépítése","A csapágyakat az ÜF biztosította;
a főorsó belül nagyon olajos volt",Smici: 6 óra,-,"Csapágyak:
- ÜF biztosította
Tányérrugók:
- 56 db 12.00x28.00x1.50",,-,1
2019.10.29.,2019.11.04.,Biotech Hungary,Baoma BMW-3000 (M14066),DK7732F,"szál szakadás figyelő, szál megvezető cseréje; olajozás nem működik;","Vizezőtömb megbontása, tisztítása, áramszedő csere, menetes rézpálca csere, vezetőgörgő csere",,Smici: 3 óra,,- 1 db vezetőgörgő [10-20592],,-,1
2019.09.12.,?,Esztergomi Szerszámgépgyár,,Baumüller DS 100-L (20717535),"Csapágyazás, jeladózás","Szétbontás, csapágyazás, átjeladózás","Az első pajzs erősen sérült, így lett behozva;
ki lett ajánlva az új, az Ügyfél azonban nem kéri a pajzs cseréjét",Smici: 6 óra,-,"Csapágyak:
- 1 db NSK 6206 ZZ C3
- 1 db SKF 6207 ZZ C3
Jeladó:
- 1 db Tamagawa 48-2500P6-L6-5V TS 5214",,,
2019.09.23.,2019.10.29.,Marton CNC,EmR-610B (M16106),"HPB VM100L-54-40-20-12 12.000 rpm főmotor
S/N: 15121455H1",motor füstölt,Motor alapos mosása; szétbontás; átcsapágyazás; jeladózás; motor járatása,Ügyfél kap cseremotort: S/N: 17112110G1,"Smici: 4 óra
Rákosréti: 6 óra",-,"Csapágyak:
- 1 db NTN 5S-6207M8C3P5
- 1 db NTN 6308T2X5C3P5
Jeladó:
- 1 db MTL MEH-30-1024PEF2(10)SSU [10-00027001-00]",,-,1
2019.10.01.,2019.10.28.,Nivelco,SLT-320/600-MB (EPA-325),Baumüller DS 71-S (20233096),gépi előtolásnál (gyorsjárat) visszacsatolás Z-vel leáll,"Motor szétbontása, vizsgálat, jeladó tesztelése, motor átcsapágyazása","A motor tekercshibás;
Ügyfél kapott cseremotort:
- 1 db NCT Ai15-54/4096-E sima hengeres reteszes
4096 TTL jeladóval",Gulyás: 1 óra,Akai,"Csapágyak:
- 1 db SKF 6203-ZZ [10-00002751-00]
 - 1 db SKF 6205-2RSH [10-10009606-00]
Jeladó:
- 1 db Tamagawa TTL 1024",,-,1
2019.10.10.,2019.10.21.,Unitool Plastik,EmR-1020D (M14093),AiS100LW26H 15.000 rpm (2014-082),főmotor csapágyas,"motor szétbontása, vizsgálat, motor átcsapágyazása, jeladó cseréje",,Smici: 8 óra,-,"Deublin:
- 1 db 1109-020-188 hűtőbordás
Csapágyak:
- 1 pár SKF S7208 CDGA/HCP4A
- 1 db SLF 6206 TB.P63
Jeladó:
- 1 db Lenord Bauer GEL2444TN1G",,-,1
2019.05.01.,2019.10.11.,SZÉV tartalék (Bíró Kft.),TCS-2500LDT (M14230),HBP VM132S főmotor,"Főmotor csapágyas, szíjtárcsa felől zajos","Motor megbontása, jeladócsap leesztergálása felszóratáshoz;
09.17. forgórész kiküldése Taksonyba;
10.09. felszórt és új jeladó csapos forgórész visszajött; motor összeépítése, járatás szükséges","A tengely végét kikezdte a rezonancia korrózió, felszórással kell javítani;
10.11. a motor be lett járatva, kiegyensúyozni akkor lehet, amikor tudni, milyen szíjtárcsa kell majd rá",Smici: 8 óra,Akai,"Csapágyak:
- 1 db 6307 ZZ C3
- 1 db 6309 ZZ C3
Jeladó:
- 1 db Tamagawa SIN 2500",,-,1
2019.10.03.,2019.10.04.,T-NC Technika,KAFO SV-1000 (M16167),Csészebillentő munkahenger,csésze nem billen le,"Szétbontás; a tolattyúrúd reteszelője nem old;
tömítések cseréje; funkciópróba",Importból berendelve ugynailyen csésze,Smici: 4 óra,-,,-,-,1
2019.09.16.,2019.10.04.,SZÉV tartalék (Fémtek 1971 Kft.),KAFO KMC-5127,Fejtároló mozgató munkahenger,menetesvég elhajlott,"Munkahenger átvizsgálása, a tolattyúrúd nem görbült, menetes vég leesztergálása, a tolattyúrúdba menetes furat vágása, új csap készítése",,Smici: 3 óra,-,-,-,-,1
2019.09.17.,2019.10.03.,Metarad,VD-510S (M17188/P18004),Royal 20.000 rpm CTS főorsó,Hangosan cserél szerszámot,"Szétbontás; a főorsó csapágyai szárazak, újracsapágyazni szükséges;
a főorsót felújítottuk","09.20. orsó elküldve Losonczinak köszörülésre;
10.03. orsókúp visszajött Losonczitól;
Összeépítés
Régi csapágyak:
4 db 5S-7008UC GD2/GLP4",Smici: 6 óra,-,"Csapágyak:
- 4 db FAG HCS7008-C-T-P4S-UL
Tányérrugók:
- 56 db 12.00x28.00x1.50","Köszörülés:
523 EUR
Rugók:
5953 Ft
Csapágyak:
508.034 Ft",-,1
2019.09.17.,2019.09.20.,Procam,Deckel DC100V (M14289),,Nagy mennyiségű hidraulika folyás,"Szétbontás, a tömítések kopottak, cserére szorultak","Új hidraulika csövek gyártatása (Optimit)
Új tömítések gyártatása (Super Seal)",Smici: 4 óra,-,"Hidraulika tömlő szerelt (Optimit):
- 2 db DKOL-061415, YK-06, 1SN-06, 0-os elforg. szög, 1495 mm
- 2 db rúdtömítés 12x18x5,7 HRHS HPU
- 2 db szennylehúzó 12/20x3,9/7,4 HSDU HPU
- 2 db Vezetőgyűrű 17x20x4,1 HVDG P/Br
- 2 db Dug.töm. 20x12x6,3 HDHO HPU","Tömlő: 7576 Ft
Tömítések: 4838 Ft",-,1
2019.07.30.,2019.09.16.,SZÉV tartalék (MST Engineering),HT-76 (M16142),HPB VM132L főmotor,Főmotor csapágyas,"Átcsapágyazás, javítás SZÉV raktárra;
A tartalék motor Tamagawa TTL 1024-el szerelve, járatva","Ügyfél kapott cseremotort, gyári száma: 16051635H","Smici: 6 óra
Rákosréti: 3 óra",-,"Csapágyak:
- 2 db 6309 ZZ C3",,-,1
2019.08.30.,2019.09.16.,Helti Kft.,EmR-1020D (M13139),AiS132LW15H 10.000 rpm,"ha rövid szerszámmal dolgozunk, akkor kikapcsol a vezérlés (teljesen áramtalanítja magát...) A főorsónak is egyre furcsább hangja van","Régi motor szétbontása, elküldése tekercselésre Dévaványára, onnan Csapóhoz csapágyazásra és összeépítésre","Cseremotort kap az Ügyfél
Új motor adatai:
AiS 132-LW 08-15
CC3-10-3004
",Smici: 4 óra,-,"Deublin:
- 1 db 902-120-188
Jeladó:
- 1 db Lenord Bauer GEL 2444T TTL 256",,-,1
2019.09.02.,2019.09.13.,Zavod Konvektor,-,NCT A2-54-30-EH/4096 (713-2708),csapágyazás,"Motor szétbontása, csapágyazás, összeépítés, átjeladózás, próba, járatás","festék lejött, motor újra lett festve",Smici: 4 óra,-,,,-,1
2019.04.18.,2019.09.13.,SZÉV tartalék (Magyarmet),VD-510S (M14218),Royal 12 000 rpm (CTS) főorsó,rugóköteg eltört,"04.23. a Magyarmet régi főorsójában is eltört a csap;
09.10. a tányérrugók szét voltak törve, újak beépítése, orsó kúp kiküldve Losonczihoz
09.13. kúp visszajött, orsó összeszerelése","04.18. ügyfél kap csere orsót,
Eredeti csapágyak:
- 4 db NTN 7008 UCG/GNP4",8 óra,-,"Csapágyak:
- 4 db FAG HCS7008-C-T-P4S-UL
Tányérrugók:
- 56 db 12.00x28.00x1.50",,-,1
2019.09.06.,2019.09.13.,KM CNC,EmL-1020 (M07272),Royal 8 000 rpm főorsó,"Csereorsót kaptak, eredeti felújítása","Orsókúp visszajött, főorsó összeszerelése","09.06. a csereorsó 10 000 rpm-es!
a behozott orsó 8 000 rpm-es, a kúpja üt
09.10. orsó kúp kiküldése Losonczihoz",,-,,,-,1
2019.09.06.,2019.09.11.,Pemü Zrt,Hurco BMC-4020HT/M (M14045(M12360)),"SIemens ""X"" motor",átcssapágyazás,"Motor megbontása; a motor belsejéből jelentős mennyiségű emulzió folyt ki;
Kitisztítás, átcsapágyazás, összeépítés, próbajáratás, jeladó beállítása (Rákosréti)",Megadyne 420-RPP5-35 szíj kell a motorhoz,"Smici: 6 óra
Rákosréti: 2 óra",-,"Csapágyak:
- 1 db SKF 6203 ZZ C3
- 1 db SKF 6205 ZZ C3",,-,1
2019.08.27.,2019.09.10.,IQ Kecskeméti Ipari Kutató Kft,MM-760 5TT(M14324),GSA CNCT-100R kéttengelyes körasztal,"Z pozícionálásnál a szerszámbefogó hozzá ért a munkadarabhoz ami a billenő asztal tokmányába volt befogva és be volt döntve. „Konkrétabban” El is tolta a billenő B tengelyt, a gépi pozíciója elállítódott","Szétbontás, átvizsgálás
Bronzkerék felszabályozása, összeépítés, próbajáratás","A billentés csigatengelyén a csapágyak rágtak, cserélve lettek",Smici: 16 óra,-,"Csapágyak:
- 2 db FAG B7002CA",,-,1
2019.09.05.,2019.09.06.,Rampf Formen,-,Siemens 7494 2548 01 025 motor,"Átépítés, átcsapágyazás","Rossz motor forgórészének átépítése a donor motor állórészébe, a rossz motor állórészét Dévaványának el kell küldeni",,,-,,,-,1
2019.01.10.,2019.08.30.,"NCT Taksony
(NCT 2000 Bt.)",EmR-1200SV,Spirsin 3F/260 körasztal,Karbantartás,"Szászi Dani küldte be;
Körasztal szétbontása, takarítás;
08.15. körasztal összeépítése festés után, motorok beszerelése, próba a járatóval;
a körasztal teljes villamos szerelését Taksonyban végzik","Több helyen erősen korrodált felületek, festék lepattogzva, beázás nyomas is látszik;
01.28. István engedélyével teljes felújítás külsőleg",Smici: 40 óra,-,"Motorok:
- 2 db NCT A6-54-30-EH-Z
Jeladó:
- 2 db HDH EQN1337 (ID: 683645-01)
Szíjak:
- 1 db 560-8M
- 1 db 800-8M",,-,1
2019.08.30.,2019.09.09.,ASK-M Műszertervező Gyártó és Szolgáltató Kft.,EmL-1020,Baumüller DAF100 B54A10-5 főmotor,zörög a főmotor,"Szétbontás, átcsapágyazás, összeépítés, tisztítás",,Smici: 5 óra,-,"Csapágyak:
- 1 db SKF 6306 ZZ C3
- 1 db KOYO 6209 ZZ C3
Ringfeeder:
- 1 pár 38-as",,-,1
2019.07.01.,2019.08.22.,Schön&Sandt,Pinacho ST-180/1000 (M14106),Pragati BTP-50 revolverfej,"revolverfej meghibásodott, nem vált szerszámot, ill. össze vissza vált","Szétbontás, átvizsgálás, tűgörgős csapágyak cseréje",08.21-22. Viktor: próbajáratás,"Ömböli: 4 óra
Smici: 5 óra
Viktor: 4 óra",-,"Csapágyak:
- 4 db INA RSTO 5 TV
- 8 db INA HK 1210
Egyéb:
- 1 db KLNN18 ringfeeder, kúpos szorító",,-,1
2019.08.12.,2019.08.14.,Modul-Bake,MM-850 (M17242/P18106),GSA CNC-170R körasztal,Levegőt ereszti,"Szétbontás, a levegőcsövekben víz volt található, illetve a munkahenger felülete korrodált, az O-gyűrű elszakadt",,4 óra,-,"O-gyűrű:
- 1 db 158,00x5,30 NBR70",,-,1
2019.08.08.,2019.08.12.,Bervina,Euroturn-12B (M06139),Sauter 0.5.475.xx,revolverfej vizezése nem megfelelő,"Átvizsgálás, visszaépítés, próba, járatás
Gulyás vitte vissza",Az Ügyfél megbontotta a revolverfejet,4 óra,-,-,-,-,1
2019.06.13.,2019.08.12.,Medimetal Kft.,MM-760 (M09132),Kéttengelyes körasztal,Az asztallal ütköztek,"Asztal szétbontása, átvizsgálása, a billentőrész csavarjai elszakadtak, az orsó akadozva jár;
Billentés tengely csigakerekének kézi felszabályozása, összeépítés, próba, ellenőrzés órázással, járatás, készreszerelés","Egyedi anyagigény nem keletkezett, rendelni nem kellett hozzá
FYI: új alkatrészek árát lásd SZÉV2019-0294 ",24 óra,-,-,-,-,1
2018.12.06.,2019.08.08.,O-I MO EGYESÜLT MAGYAR CSOMAGOLÓÜVEG KFT. (O-I MANUFACTURING MO KFT),Gildemeister CT-60 (M16302),Sauter revfej,"revolverfej nem ül vissza szerszámváltás után, vagy ha visszaülne akkor két szerszám között áll meg, nem tilt le ha a hiba jelen van;","Szétszedés, a revfej belül több helyen széttört
05.15. Minden új alkatrész beérkezett","01.14. árajánlat bekérése német Sautertől
01.16. érkezett ajánlat a tengelyre, fogaskerék tárcsára, csapágygyűrűkre
Ügyfélnek kiajánlva a javítás, még nem rendelte meg","Smici: 30 óra
Viktor: 16 óra
Sanyi: 4 óra
Hulmány: 4 óra
Gulyás: 4 óra",-,"- 3 db Görgő (Roller) 58,4 EUR / db
- 1 db központi tengely (Shaft) 636 EUR
- 1 db Tárcsa (Hub) 613 EUR
- 1 db Retesz (Feather Key) 2 EUR
- 1 db 220/380V 50 Hz Motor 061 217 883 EUR
- 3 db Illesztőszeg (Pin) 6,50 EUR / db
- 3 db Alátét (Disc/washer) 5,40 EUR / db ","2344,9 EUR (ez a Sauter ára)",-,1
2019.07.22.,2019.08.07.,Dömötör István,Snupy (M10164),"SIemens ""X"" motor",Leültetési hiba,"Összeszerelés, funkciópróba","Kosárban érkezett; a revfejnek csúnya hangja van, csere alkatrészek árának bekérése","Telephelyi:
Gulyás: 16 óra
Viktor: 8 óra",-,-,-,-,1
2019.07.22.,2019.08.01.,Juhász,Hurco (M18324),YASKAWA UAASKD-15LHB21 főmotor,összeszerelés,,"Taksony küldte be, szétbontották, összeszerelés, egyensúlyozás Fogarasin
Rajzmódosítás szükséges: a jeladó védőburkolatában a PG 7-es helyett PG 9-es tömszelencét kell betervezni, mert a 7-esen nem fér ár a Tamagawa TTL kábele",Smici: 8 óra,-,-,-,-,1
2019.07.29.,2019.07.31.,Pro Form Kft.,Kondia B640 (M05105),Tármozgató munkahenger,Munkahenger ereszt,"Munkahenger szétbontása, tömítések beszerzése",,,-,"Karmantyúk (Super Seal Kft.):
- 1+1 db Rúdtömítés 20x30x10,4 K51 PU
- 2+2 db Szennylehúzó 25/33x4/7 PU5
- 2 db csillapítógyűrű KN/21 40x50x06 N BR90 MA21 (Seal Ring Kft.)",4065 Ft (Super Seal Kft.),-,1
2019.07.19.,2019.07.30.,Ecomatic (Gi-Flex),Kondia HM-1060 (M030048),12.000 rpm főorsó CTS?,Főorsó beállt,"Orsó szétbontása, átcsapágyazás, összeépítés",,"Gulyás J.: 3 óra
Tóth I.: 6 óra",-,"Csapágyak:
- 2 db NSK 60BNR10HYTSUELP3
- 2 db NSK 70BNR10HYTSUELP3",,-,1
2019.07.01.,2019.07.26.,SZÉV tartalék (Hajdu Autotechnika),EmR-1020D (M15249),AiS100 (10 000 rpm) főmotor,"Testzárlatos, zajos",,"Ügyfél cseremotort kapott, újfajta AiS100-ast, a régi felújításra kerül SZÉV tartaléknak",,-,Új csere motorra került: 1 db Deublin 902-120-188,,-,1
2019.06.18.,2019.07.24.,First Tech Kft FT-Line Kft,TB-20Y AMS (M12317),AMS180LW20H Orsómotor,Testzárlatos,"Taksonyban: Motor szétbontása, állórész kiszedése, Dévaványa tekercseli;
Tekercselt állórész visszakerült, motor összeszerelése, járatás","A labirintokból új készült FÉMÓ-nál, illetve a főorsó Juhászéknál át lett alakítva. Nylos gyűrű beépítése az első csapágy elé",48 óra,Akai Gábor,"Csapágyak:
- 1 db FAG N1022-K-M1-SP, 
- 2 db FAG B7026-E-T-P4S-UL
Csapágyanya: 
- Spieth MSR 105x2 (40226583/1)
Tömítőlemez:
- 1 (+4) db Nylos ring
O-gyűrű:
- 4 db 305x4,5 (Seal Ring Kft.)
Gégecső:
- 1,5 méter PG21 gégecső ",,-,1
2019.07.15.,2019.07.22.,Metarad,TNL-100ADT (M14039),4500 rpm főorsó,Csapágyas,"Orsó megbontása, felületek tisztítása, felcsiszolása, átcsapágyazás, összeépítés",,10 óra,-,"Csapágyak:
- 1 pár NSK 100BAR10ETYNDBLP4A
- 1 db NSK NN3017TBKRE44CCOP4
- 1 db NSK 3020TBKRCCOP5",,-,1
2019.07.01.,2019.07.10.,Losonczi Kft,,Baumüller DAF132,Zárlatos,"Szétszedés, csapágyazás, áttekercseltetés, összeépítés, jeladó beállítása, járatás, egyensúlyozás",Villtek újratekercselte,10 óra,-,"Csapágyak:
- 1 db 6310 ZZ C3
- 1 db 6312 ZZ C3",,-,1
2019.07.02.,2019.07.09.,SZÉV tartalék (Norton 4 Kft.),EmR-1020D (M11037),"AiS100 (15 000 rpm) főmotor
CC2-10-138",Zajos,"Motor szétbontása átcsapágyazáshoz, motor kiment Csapóhoz","Ügyfél kapott cseremotort, új Deublinnal",Smici: 4 óra,-,Deublin: 1 db 1109-020-188,,-,1
2019.06.05.,2019.06.28.,MST Engineering,VMC-1600 (EmB-1604) (M13049),Royal 10.000 rpm főorsó és AiS132 főmotor,"Motor csapágyas, orsó felújítás","Motor szétbontása átcsapágyazáshoz, motor kiment Csapóhoz, új csapágyak bekérése a motorhoz és az orsóhoz","Orsó szétbontása, tisztítás, összeépítés új csapágyakkal","Smici: 3 óra
Gulyás: 2 óra",-,"Deublin: 1 db 902-120-188
Csapágyak:
- 2 pár FAG HS-7014-CT-P4-SUL
",,-,1
2019.05.30.,2019.06.26.,Grif-Tools,EmL-1020B (1020E) (M11036???),Royal 12 000 rpm szíjas főorsó ISO40,Csapágyas,,"Eredeti csapágyak: 7014 CDGAT/HCVQ253
Áll az olaj és a dzsuva az orsóban; az orsó két különböző csapágy típussal volt szerelve, 1 pár acélgolyóssal és 1 pár kerámiagolyóssal","Smici: 4 óra
Gulyás: 4 óra",-,"Csapágyak:
- 4 db FAG HCB-7014-C-T-P4S-UL",,-,1
2019.03.01.,2019.05.xx.,Gyulai Kossuth Lajos SZKI,E3N (NCT90T),Stromag főmotor,motorcsere,,"Ügyfél cseremotort kapott:
Lenze MDFKARS90-22
Jeladó: Tamagawa TTL 1024",14 óra,-,"Motor:
- 1 db Lenze MDFKARS90-22
Jeladó:
- 1 db Tamagawa TTL 1024",,-,1
2019.05.31.,2019.06.13.,Mill-Turn Kft.,Deckel DMC-63V,GSA CNC-200R körasztal,Szorul,"Körasztal szétbontása, hibakeresés: a körasztallal valamikor ütköztek, emiatt a támcsapágy tönkrement, az asztal lóg","Ügyfél ragaszkodott hozzá, hogy beszerezze a maga a csapágyakat",6 óra,-,"1 db RNA 4911 INA   7450,-+Áfa
1 db AXK75100 INA   4290,-+Áfa
2 db AS75100 INA    990,-+Áfa
O-gyűrű:
- 1 + 1 db 170x1,78 6.000 Ft NET",,-,1
2019.05.30.,2019.06.12.,Grif-Tools,EmL-1020E (1020B) (M13188),Royal 8 000 rpm szíjas főorsó ISO40,Csapágyas,"Szétbontás, tisztítás, új csapágyak beszerelése, összeépítés, esztétikai tisztítás
06.07. szállítható",,8 óra,-,"Csapágyak:
- 2 pár NSK 7014CTRDULP4",,-,1
2019.06.07.,2019.06.12.,H.O.W. Project Kft.,EEN-320,BA-150 revfej,"Nem váltja be a szerszámot, nem reteszel","Szétbontás, átvizsgálás, hiányzottak alkatrészek, azokat pótoltuk, rosszakat kicseréltük, összeépítés, funkciópróba",Ügyfél elszállította a revfejet,8 óra,-,"Gyári alkatrészek: 1 db nagy tengelyanya, 1 db tányérrugó, 1 db teflon tömítőgyűrű, 1 db motor fogaskerék tengelyanya + alátét",,-,1
2019.05.15.,2019.06.03.,SGN Steel (Pintér és Tsa),EmR-1600 (M16286),AiS132 10.000 rpm,Testzárlatos,"Motor teljes szétbontása;
05.30. motor visszajött, összeszerelve",Régi fajta AiS132-es. A motorban állt a víz,Smici: 2 óra,-,"Deublin:
- 1 db 1109-023-212",,-,1
